state,downstream_hazard_potential,incident_driver,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_date_year,incident_date_month,incident_date_day,incident_time_year,incident_time_month,incident_time_day,incident_time_hour,number_of_people_evacuated,number_of_habitable_structures_evacuated,number_of_habitable_structures_flooded,volume_released_at_failure_ac_ft,incident_duration
19,0,0,0,0,34,1,46,271,2,1963,43.7314,-90.8419,-1,1970,1,1,1970,1,1,0,0,0,0,1,1
19,0,0,0,0,34,1,39,95.5,0,1961,43.743,-90.8418,-1,1970,1,1,1970,1,1,0,0,0,0,1,1
19,0,0,0,0,34,2,34,207,5,1961,43.7674,-90.8976,-1,1970,1,1,1970,1,1,0,0,0,0,1,1
28,0,6,1,0,0,1,24,84,9,1971,40.7333,-81.1444,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
28,4,3,1,0,0,1,42,48,2,1963,40.3158,-80.7733,-1,1970,1,1,1970,1,1,0,0,0,0,1,15
1,0,0,1,0,1,1,12,81,11,1959,34.1683,-80.1583,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
4,1,2,3,2,7,3,1989,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
24,4,3,0,22,1,2,15,80,17,1843,42.9857,-84.1179,-1,1970,1,1,1970,1,1,0,0,1,0,16,0
6,0,5,1,0,9,0,16,96,10,1970,32.5709,-95.9518,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,5,1,0,9,0,16,96,10,1970,32.5709,-95.9518,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
26,4,0,0,0,1,1,76,16839,494,1973,46.299,-98.2671,1979,1970,1,1,1970,1,1,0,0,0,0,1,15
16,1,0,0,0,35,2,12,70,13,1947,38.3308,-75.5982,2006,1970,1,1,1970,1,1,0,1,1,1,1,0
4,2,0,1,0,0,1,29,69.7,4,0,37.4485,-78.6955,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
4,2,0,1,0,1,1,8,170.4,23,0,37.9988,-76.5733,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
1,0,0,1,0,2,0,11,400,32,1900,34.6077,-79.6314,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
1,0,0,1,0,8,1,20,400,32,1900,34.6083,-79.63,1999,1970,1,1,1970,1,1,0,0,0,0,1,8
1,4,0,1,0,1,1,16,76,10,1950,34.135,-80.975,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
13,4,0,1,10,26,2,33,150,17,1922,43.3905,-72.3766,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
23,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
16,4,3,0,0,9,2,32,437,24,1957,39.6,-76.9633,1957,1970,1,1,1970,1,1,0,1,1,1,1,0
19,0,0,0,0,1,2,15,300,55,1973,45.5961,-90.4247,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
19,1,0,0,0,1,2,12,2500,346,1969,46.4524,-91.9517,-1,1970,1,1,1970,1,1,0,0,0,3,1,0
1,0,0,1,0,1,0,16,71,8,1960,34.6639,-80.2922,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
34,0,0,1,0,16,1,16,396,0,1960,30.46,-87.27,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
28,1,2,0,0,1,1,34,96,7,1934,39.7611,-82.0472,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
12,4,5,1,2,1,0,9,30,0,1900,42.4503,-71.3239,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,0,7,0,9,2,74,52,4,2008,40.2767,-105.358,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,13,0,38,950,16,1960,30.014,-96.6866,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,13,0,42,3202,33,1969,29.9169,-96.6341,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,13,0,42,3202,33,1969,29.9169,-96.6341,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,13,2,25,3676,54,1959,30.0989,-96.7636,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,13,0,26,1636,23,1958,30.1166,-96.7433,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
13,0,0,1,6,1,0,13,1090,136,1880,43.7777,-72.0155,2008,1970,1,1,1970,1,1,0,0,1,0,3,0
3,0,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,3,0,3,0,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
17,0,0,1,4,1,0,17,-1,62,-1,39.5956,-74.8668,-1,1970,1,1,1970,1,1,0,0,1,1,6,0
1,0,0,1,0,1,1,18,90,10,1960,33.8167,-80.1967,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
14,0,3,1,0,13,0,20,73.2,7,1980,40.1219,-97.5903,-1,1970,1,1,1970,1,1,0,0,0,0,8,0
6,3,5,3,0,7,3,19,57,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
14,0,0,3,0,27,0,25,411,21,-1,40.177,-97.5594,-1,1970,1,1,1970,1,1,0,0,0,0,17,0
9,1,3,7,0,0,2,40,-1,0,-1,36.4883,-79.7148,-1,1970,1,1,1970,1,1,0,1,1,1,18,0
28,0,2,2,0,1,2,26,54.5,4,1966,40.1206,-84.5214,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
28,4,3,1,0,1,2,38,78.1,4,1987,39.9056,-81.4292,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
26,4,2,2,0,1,2,79,1346,43,1971,47.2361,-101.223,1987,1970,1,1,1970,1,1,0,0,0,0,1,0
1,4,0,1,0,0,2,9,394,45,1870,34.6443,-79.7482,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
18,0,0,1,0,1,2,10,160,26,1956,41.6183,-74.6031,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,2,5,1,2,7,0,20,106.4,13,-1,37.4475,-77.8359,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
26,0,2,2,0,1,0,31,307.4,15,1963,46.546,-103.658,1985,1970,1,1,1970,1,1,0,0,0,0,1,0
16,3,0,3,0,7,3,4,1000,0,-1,38.1717,-75.8933,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
16,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
13,1,0,0,6,1,2,20,80,3,1935,44.3122,-71.7977,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
3,0,2,0,0,9,0,32,54,4,1961,38.81,-108.071,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
0,0,0,1,0,1,0,16,120,0,-1,34.8283,-90.195,-1,1970,1,1,1970,1,1,0,1,0,0,1,0
6,0,0,0,0,31,0,21,84,7,1978,33.5892,-97.7107,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,13,0,38,89,0,1973,33.5185,-97.5959,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,13,0,54,2100,22,1968,33.4131,-97.5039,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,36,0,29,600,15,1966,33.6093,-97.7465,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,0,0,13,1,53,2274,27,1963,33.2728,-97.5585,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,0,0,13,1,55,1969,24,1963,33.2668,-97.5607,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,4,0,40,2360,39,1963,33.1854,-97.4177,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,31,0,35,4469,71,1972,33.5639,-97.6928,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,4,2,4,16,37,2,17,10790,536,1929,44.4483,-88.0633,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,4,2,4,16,37,2,17,10790,536,1929,44.4483,-88.0633,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,1,0,1,0,1,1,12,109,13,1965,33.8146,-80.9929,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
11,0,0,0,23,13,3,1,-1,0,-1,39.5802,-76.4822,-1,1970,1,1,1970,1,1,0,0,0,0,1,7
25,0,6,2,0,1,0,45,4300,270,1951,47.0435,-122.909,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
9,1,0,1,0,1,2,25,175,0,-1,35.075,-78.995,2002,1970,1,1,1970,1,1,0,1,0,1,1,1
17,4,0,0,4,1,1,9,24,4,1937,40.7311,-74.3071,-1,1970,1,1,1970,1,1,0,0,1,1,3,0
2,3,2,3,2,7,3,1,0,0,0,38.8492,90.9522,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,6,0,0,32,2,310,305000,3300,1963,39.6217,-106.062,-1,1970,1,1,1970,1,1,0,0,0,0,1,16
6,4,0,1,0,1,1,17,1420,122,1943,32.1281,-94.3657,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
14,0,0,1,0,27,0,43,86,6,1981,42.62,-98.094,-1,1970,1,1,1970,1,1,0,0,0,0,19,0
1,0,0,1,0,1,1,14,67,16,1850,33.8017,-80.33,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,5,1,0,1,0,32,209,13,1965,30.725,-94.8771,2007,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,1,0,15,164,11,1942,30.6965,-94.7329,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
15,1,2,1,0,0,1,21,90,0,2019,41.4555,-120.901,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
4,0,1,2,0,1,2,30,32.7,4,-1,37.6354,-78.7944,-1,1970,1,1,1970,1,1,0,5,6,1,1,0
28,1,1,2,0,1,2,66,7018.3,161,1959,39.33,-82.01,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
14,0,3,0,0,13,0,26,32.1,3,1980,40.0526,-97.2591,-1,1970,1,1,1970,1,1,0,0,0,0,20,0
1,0,0,1,0,1,1,14,720,32,1967,33.825,-80.7283,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
16,1,5,0,0,9,2,118,1880,48,1871,39.3186,-76.6315,1999,1970,1,1,1970,1,1,0,0,1,0,1,0
35,0,5,1,0,8,0,35,77,6,1976,44.0864,-116.553,2014,1970,1,1,1970,1,1,0,0,0,0,1,0
18,0,0,2,22,1,1,14,380,58,-1,44.14,-74.1083,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,0,0,1,0,1,1,14,720,120,1967,33.8417,-80.8517,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
36,0,3,1,0,8,0,29,616,48,1937,43.4133,-104.507,-1,1970,1,1,1970,1,1,0,0,0,0,21,17
17,0,0,1,24,25,2,16,3584,224,1854,40.8833,-74.1271,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
21,0,5,0,0,1,0,25,-1,17,1955,36.9908,-85.6144,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
0,0,3,1,0,1,4,1,-1,0,-1,34.9097,-89.8342,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
3,1,2,0,0,9,2,45,341,19,1954,37.2907,-107.847,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
9,0,0,1,0,1,0,13,112,0,-1,35.281,-78.057,-1,1970,1,1,1970,1,1,0,1,1,1,1,1
11,1,0,2,0,16,2,42,1850,91,1959,40.1458,-80.4675,2012,1970,1,1,1970,1,1,0,0,1,1,1,18
7,1,0,0,3,13,2,92,110000,1350,1967,39.825,-86.3075,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,1,2,0,10,2,85,680335,6160,1932,32.8739,-97.461,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
37,1,7,2,25,8,2,149,98000,2768,1918,36.5318,-105.23,-1,1970,1,1,1970,1,1,0,0,0,0,1,1
7,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,0,0,28,2,43,778,14,1952,33.3184,-96.6792,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,17,2,22,327,19,1949,30.6995,-94.4207,1997,1970,1,1,1970,1,1,0,1,1,1,1,0
28,0,2,1,0,0,1,29,114,10,1930,40.3664,-83.6033,-1,1970,1,1,1970,1,1,0,0,0,0,1,11
8,0,0,2,0,6,0,41,17400,294,1958,43.59,-97.1717,1994,1970,1,1,1970,1,1,0,3,2,2,1,0
0,1,0,1,0,1,1,16,57,6,-1,32.2844,-89.9745,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
19,0,6,0,4,1,2,20,305,24,1855,43.839,-89.8064,1909,1970,1,1,1970,1,1,0,0,0,0,22,1
25,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,4,1,2,0,5,2,82,3063,118,1969,37.2074,-107,-1,1970,1,1,1970,1,1,0,0,0,0,1,19
22,1,0,2,0,5,2,58,1750,64,1970,37.9072,-114.272,-1,1970,1,1,1970,1,1,0,0,0,0,1,2
28,4,0,1,0,1,1,22,28.6,2,0,40.4894,-81.3272,-1,1970,1,1,1970,1,1,0,0,0,7,23,20
18,0,0,1,13,1,0,12,144,16,1880,41.2717,-74.1406,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
24,1,0,1,4,38,2,54,66200,2600,1925,43.8142,-84.3769,-1,1970,1,1,1970,1,1,0,10,7,8,24,0
4,0,5,2,0,1,1,28,358,26,-1,36.7148,-78.6901,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,1,0,1,0,1,1,17,316,40,1962,33.6301,-81.2444,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
25,1,3,7,26,2,2,22,1610,65,1933,47.5205,-120.858,-1,1970,1,1,1970,1,1,0,0,0,0,1,21
11,0,0,1,0,1,3,11,-1,0,-1,41.5226,-75.4716,-1,1970,1,1,1970,1,1,0,0,1,1,25,6
18,3,5,3,2,7,3,1,-1,0,-1,1,1,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,1,2,12,50,9,1927,30.7266,-94.448,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,1,2,12,50,9,1927,30.7266,-94.448,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,1,0,3,4,16,1,14,40,5,1877,44.5769,-91.4683,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,0,7,27,9,2,151,128000,3500,1932,38.905,-105.477,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,0,0,1,28,1,1,23,4200,525,1965,44.0225,-73.8308,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
21,1,7,0,17,9,0,40,-1,16,1930,37.1683,-82.635,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
6,1,0,1,0,2,2,31,1766,85,1920,30.6569,-95.532,2002,1970,1,1,1970,1,1,0,0,0,0,1,0
1,0,0,1,0,1,1,7,151,42,1830,34.0683,-80.5317,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,6,0,13,0,52,1680,18,1954,33.6654,-97.4887,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,6,0,13,0,46,641,10,1957,33.5915,-97.3537,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,6,0,13,0,50,2424,45,1958,33.7018,-97.3634,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,6,0,13,0,50,1498,12,1957,33.6781,-97.3411,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,6,0,13,0,44,1628,32,1958,33.6553,-97.2839,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,6,0,13,0,45,411,7,1959,33.6825,-97.3288,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
8,1,0,2,0,16,2,52,28800,1150,1937,45.855,-98.705,2000,1970,1,1,1970,1,1,0,5,6,3,1,0
26,4,0,0,0,13,2,25,5187.6,48,1964,47.3098,-97.4647,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
19,3,6,3,2,7,3,0,0,0,0,0,0,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
3,0,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,0,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,2,1,0,39,2,37,50900,2842,1905,40.2732,-104.189,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
20,0,2,0,0,40,0,38,32,2,1970,43.4418,-91.4662,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
20,0,1,0,0,40,0,38,32,2,1970,43.4418,-91.4662,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
14,0,0,1,0,13,0,35,968,123,1916,41.7584,-98.6529,2004,1970,1,1,1970,1,1,0,0,1,0,26,0
27,1,0,2,0,1,2,48,1691,46,1969,34.3153,-84.1964,-1,1970,1,1,1970,1,1,0,5,6,3,1,0
9,3,2,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,0,0,2,0,8,1,18,90,11,1964,34.295,-79.73,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
11,0,0,1,0,41,3,10,-1,0,-1,41.1024,-76.003,-1,1970,1,1,1970,1,1,0,0,1,1,1,6
4,1,0,0,29,1,2,34,1511,92,-1,37.4618,-77.4655,-1,1970,1,1,1970,1,1,0,5,6,1,1,0
29,2,5,1,0,0,1,31,16.1,0,-1,39.4161,-80.1611,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,6,0,42,0,36,83,4,1975,33.6745,-97.6433,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,6,0,42,0,41,99,6,1975,33.68,-97.6461,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,4,0,1,0,1,1,22,300,12,-1,37.2383,-78.42,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
11,1,5,1,0,1,2,44,675,27,1972,40.5867,-76.19,2012,1970,1,1,1970,1,1,0,0,1,1,1,0
5,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
30,0,0,1,0,7,3,1,-1,0,1969,0,0,2012,1970,1,1,1970,1,1,0,0,1,0,27,0
1,1,3,1,0,1,2,34,715,55,1988,34.8867,-83.0442,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
19,3,0,3,0,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
9,4,3,1,0,1,1,15,469,0,1924,35.763,-77.997,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
28,1,3,0,0,9,2,32,19478,624,1971,41.01,-83.57,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
2,1,3,2,0,1,2,44,585,79,-1,39.0871,-92.3161,-1,1970,1,1,1970,1,1,0,0,0,0,1,11
7,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,0,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,0,2,1,0,1,3,39,-1,0,1975,40.5436,-76.2218,-1,1970,1,1,1970,1,1,0,0,8,0,1,7
28,4,3,1,0,1,1,22,79,6,1960,39.6167,-83.8867,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,4,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,2,0,1,0,1,1,14,91,9,-1,36.8121,-77.7596,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,3,3,3,2,7,3,0,0,0,0,0,0,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
1,4,0,1,0,1,2,11,75,12,1957,34.3572,-79.2,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
1,0,0,1,0,1,1,21,68,6,1950,33.985,-79.5183,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
1,0,0,1,0,43,1,15,400,22,-1,34.3083,-80.2683,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
0,0,0,3,2,44,4,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
36,1,2,4,0,45,2,139,405160,8058,1963,42.0286,-107.867,1989,1970,1,1,1970,1,1,0,1,6,0,1,22
13,0,3,1,0,1,0,16,134,16,1971,43.6097,-71.4888,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
9,1,3,1,0,1,2,15,60,0,-1,35.205,-80.719,-1,1970,1,1,1970,1,1,0,11,1,1,28,0
13,0,0,1,18,1,0,8,378,93,1925,42.7988,-72.3697,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
7,1,0,1,0,7,1,19,55,5,1965,39.755,-86.4083,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
13,0,0,1,18,1,0,8,378,93,1925,42.7988,-72.3697,-1,1970,1,1,1970,1,1,0,0,0,0,1,2
6,4,0,1,0,1,2,16,148.6,10,1940,30.7871,-94.4087,1989,1970,1,1,1970,1,1,0,1,1,1,1,0
11,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
27,1,0,2,0,13,2,49,7460,263,1964,33.9621,-83.7246,-1,1970,1,1,1970,1,1,0,5,6,3,1,0
28,1,1,0,0,9,2,36,2900,129,1958,41.11,-83.44,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
5,4,1,0,0,0,2,25,560,32,2017,43.6959,-93.3798,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
18,0,2,1,0,1,1,16,200,21,1958,42.3106,-75.2375,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
7,0,3,0,0,1,1,22,253,22,1958,39.3386,-87.3739,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
14,0,3,1,0,8,0,11,77,9,1951,42.9579,-100.916,-1,1970,1,1,1970,1,1,0,0,0,0,29,0
4,2,3,1,2,7,0,30,65.1,5,-1,37.2411,-76.7003,-1,1970,1,1,1970,1,1,0,3,2,1,1,0
6,1,0,1,0,7,2,25,114,11,1964,30.6195,-97.8003,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,1,0,7,2,25,114,11,1964,30.6195,-97.8003,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,4,0,1,0,1,2,8,518,144,1830,34.3933,-79.2383,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
4,2,1,5,0,11,1,15,150,27,-1,37.5877,-77.3021,-1,1970,1,1,1970,1,1,0,5,6,1,1,0
16,0,0,0,0,35,0,9,228,44,1972,38.5676,-75.7135,2008,1970,1,1,1970,1,1,0,1,1,1,1,0
4,0,5,1,0,1,2,16,672,56,-1,37.9588,-76.7062,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
23,1,0,2,11,22,1,11,1164,86,1964,39.244,-75.5884,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
28,3,0,3,17,1,3,7,-1,0,1903,41,81,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
0,0,0,1,0,1,0,25,125,0,-1,31.5167,-90.7083,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,4,2,0,0,2,2,10,840,70,-1,40.1225,-105.11,1960,1970,1,1,1970,1,1,0,1,1,1,1,0
3,4,2,0,0,2,2,10,840,70,-1,40.1225,-105.11,1960,1970,1,1,1970,1,1,0,1,1,1,1,0
27,0,0,0,6,1,0,40,4685,222,1962,33.7583,-84.6292,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
12,4,3,1,0,1,1,13,64,12,1970,42.4582,-73.0852,-1,1970,1,1,1970,1,1,0,0,0,4,30,1
28,0,3,3,17,9,3,15,-1,0,1938,0,0,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
1,4,0,0,0,1,2,15,240,28,1900,33.9683,-81.2433,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,1,0,0,30,9,2,183,95575,1159,1926,42.3911,-74.45,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,4,0,1,31,1,3,10,-1,0,-1,41.5043,-75.4333,-1,1970,1,1,1970,1,1,0,0,1,1,1,6
17,1,2,1,4,1,2,12,66,14,1922,41.0392,-74.6074,-1,1970,1,1,1970,1,1,0,0,1,1,31,0
19,1,3,0,17,16,2,37,1000,45,1875,44.9569,-91.3998,1959,1970,1,1,1970,1,1,0,0,0,0,1,1
13,4,0,1,10,26,2,16,10.2,2,1988,43.635,-72.3043,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
7,4,2,1,0,1,1,14,54,6,1945,40.5,-85.6708,-1,1970,1,1,1970,1,1,0,0,1,0,32,0
4,0,0,2,0,1,2,32,212.25,11,-1,37.1753,-78.2815,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
28,1,0,7,3,9,2,57,1149,34,1912,41.12,-81.49,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
13,0,3,1,32,26,0,24,370,45,1904,44.4082,-71.1952,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
11,1,2,1,0,1,3,11,-1,0,1929,41.1051,-74.5605,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
18,1,0,0,0,9,2,37,867,66,1963,41.3833,-74.3333,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,5,1,0,9,0,39,577,27,1961,33.292,-97.9597,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
14,0,0,4,0,7,3,20,-1,0,1980,0,0,2003,1970,1,1,1970,1,1,0,0,1,0,33,0
1,4,0,1,0,1,2,13,119,17,1930,34.0183,-79.1733,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
16,4,3,1,0,1,2,22,76,8,1969,39.6826,-76.3531,2008,1970,1,1,1970,1,1,0,1,1,1,1,0
27,0,5,1,0,0,0,12,30,1,2019,32.78,-83.63,-1,1970,1,1,1970,1,1,0,5,6,3,1,0
3,1,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,5,0,9,2,0,35,462,33,1940,27.88,-97.2917,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
16,3,2,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
16,1,9,2,0,1,2,64,734,27,1965,39.5389,-77.6213,1996,1970,1,1,1970,1,1,0,1,1,1,1,23
4,0,3,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,1,2,0,0,9,3,60,-1,0,1901,40.0618,-79.31,-1,1970,1,1,1970,1,1,0,1,1,1,12,7
7,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
23,1,2,2,4,5,2,13,310,40,-1,38.9112,-75.4648,2006,1970,1,1,1970,1,1,0,1,1,1,1,0
7,1,3,1,0,1,0,22,82,6,1964,39.4406,-87.3558,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
16,1,4,0,0,9,2,35,134,7,1893,39.345,-76.6167,2006,1970,1,1,1970,1,1,0,1,1,1,1,0
16,1,4,0,0,9,2,35,134,7,1893,39.345,-76.6167,2006,1970,1,1,1970,1,1,0,1,1,1,1,0
9,0,0,1,0,1,0,14,72,0,-1,35.488,-78.71,-1,1970,1,1,1970,1,1,0,1,1,1,1,1
