state,downstream_hazard_potential,incident_date,incident_driver,incident_mechanism_1,incident_mechanism_2,incident_mechanism_3,eap_enacted_y_n_due_to_incident,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_time,incident_duration,incident_report_produced
TN,S,6/5/2014,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,No,S,RE,-1,NR,20 ft,1848.0,110,1949,36.1003,-88.4847,-1,-1,-1,-1
TN,S,5/2/2010,Unknown,Other,-1,-1,No,P,RE,-1,NR,14 ft,161.0,20,1988,35.1836,-89.7689,-1,-1,-1,-1
TX,L,1/1/1997,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,-1,NR,15 ft,334.0,56,1993,28.6057,-99.7697,-1,-1,-1,-1
MD,S,4/16/2018,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,Yes,P,ER,R,Y,20 ft,58.0,5,1900,39.6167,-76.8883,1976,-1,6 months,No
NJ,S,8/27/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,P,PGRE,R,Y,6 ft,-1.0,14,-1,40.1107,-74.3889,-1,-1,-1,-1
NJ,S,8/27/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,R,-1,6 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,S,3/9/2016,Hydrologic/Flooding,Sliding,-1,-1,-1,LP,RE,C,Y,31 ft,760.0,15,1975,31.422,-97.1069,-1,-1,-1,-1
WI,-1,6/22/2023,Seepage/Internal Erosion,Sinkhole,-1,-1,No,-1,-1,-1,-1,0 ft,0.0,0,0,0.0,0.0,-1,-1,-1,-1
NJ,L,8/27/2011,Hydrologic/Flooding,Spillway Chute Failure,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,L,6/10/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,L,RE,CRP,NR,33 ft,590.0,14,1965,32.4522,-96.0635,2010,-1,-1,-1
TX,L,6/10/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,L,RE,CRP,NR,29 ft,831.0,21,1968,32.426,-96.0689,-1,-1,-1,-1
TX,H,5/30/2015,Hydrologic/Flooding,Sliding,-1,-1,-1,L,RE,CRP,Y,43 ft,20147.0,840,1969,32.7275,-96.1722,1969,-1,-1,-1
TX,H,5/3/2024,Hydrologic/Flooding,Excessive/Increased Seepage,-1,-1,Yes,L,RE,C,Y,25 ft,205.0,13,1971,32.847,-96.3935,-1,-1,-1,Yes
CO,L,9/19/2013,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,FRP,NR,37 ft,50.0,3,1969,40.4614,-105.32,-1,-1,-1,-1
NJ,S,8/14/2011,Hydrologic/Flooding,Overtopping,-1,-1,Yes,P,PGRE,R,Y,12 ft,576.0,37,1942,39.525,-75.1699,-1,-1,-1,-1
VA,L,9/1/2020,Structural Stability,Spillway Erosion/Head Cutting,-1,-1,-1,P,RE,R,Y,32 ft,125.0,12,-1,37.7407,-77.1443,-1,-1,-1,Yes
TX,H,6/18/2007,Unknown,Spillway Deficiency,-1,-1,-1,L,RE,I,N,15 ft,2312.0,107,1912,29.2366,-98.8739,-1,-1,-1,-1
MD,S,5/1/2014,Deterioration or Poor Condition,Spillway Pipe Failure,Sinkhole,-1,No,P,RE,C,Y,20 ft,0.0,0,1981,39.1896,-77.2293,2015,-1,-1,-1
WA,S,8/21/2014,Hydrologic/Flooding,Other,-1,-1,-1,P,RE,IR,N,17 ft,80.0,9,1940,48.332,-119.998,1992,-1,-1,Yes
VA,S,1/17/2022,Deterioration or Poor Condition,Erosion,Overtopping,-1,-1,S,RE,R,N,15 ft,475.0,0,-1,38.0974,-76.8484,-1,-1,-1,-1
VA,S,1/17/2022,Manmade Action,Other,-1,-1,Yes,S,RE,R,N,15 ft,475.0,0,-1,38.0974,-76.8484,-1,15:30,-1,Unknown
VA,S,11/12/2020,Hydrologic/Flooding,Overtopping,-1,-1,-1,S,RE,R,N,15 ft,475.0,0,-1,38.0974,-76.8484,-1,-1,-1,Yes
VA,H,2/7/2018,Deterioration or Poor Condition,Spillway Riser Failure,-1,-1,No,-1,-1,-1,N,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,L,5/5/1989,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,-1,NR,25 ft,-1.0,0,1800,32.7257,-97.8913,-1,-1,-1,-1
NV,L,4/16/2019,Manmade Action,Overtopping,Insufficient Spillway Capacity,Other,No,P,RE,IP,NR,16 ft,500.0,50,1920,41.5823,-115.497,1963,-1,-1,Yes
MD,-1,1/1/2008,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,H,9/12/2013,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,-1,L,ER,S,Y,100 ft,1250.0,25,1996,39.8165,-105.53,-1,-1,-1,-1
SC,S,9/16/2018,Hydrologic/Flooding,Overtopping,Erosion,Spillway Erosion/Head Cutting,No,P,RE,R,Y,17 ft,53.0,7,1978,34.6732,-79.9104,-1,-1,-1,-1
CO,H,6/17/2015,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,U,MSVA,S,Y,221 ft,87227.0,874,1905,39.2083,-105.274,-1,-1,-1,-1
LA,L,8/26/2022,Seepage/Internal Erosion,Piping,Foundation Deficiency,Other,No,L,RE,R,NR,25 ft,53000.0,3600,1943,32.4528,-92.1917,-1,12:00,2 days,Investigation
GA,H,4/19/2019,Hydrologic/Flooding,Sinkhole,Insufficient Spillway Capacity,Spillway Pipe Failure,Yes,P,RE,R,Y,33 ft,34.4,2,1966,33.9951,-84.3639,-1,-1,-1,Yes
ME,H,9/2/2022,Other,Accident Or Misoperation,-1,-1,No,P,RE,HS,NR,30 ft,13900.0,480,1967,46.69,-67.8917,-1,-1,-1,Unknown
TX,L,12/27/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,R,NR,31 ft,673.0,64,1924,32.6839,-95.7361,-1,-1,-1,-1
TN,-1,11/4/1912,Seepage/Internal Erosion,Piping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NY,L,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,P,CNCB,HC,NR,23 ft,875.0,89,1904,43.1185,-73.555,1990,-1,-1,-1
VT,L,7/10/2023,Hydrologic/Flooding,Unknown,-1,-1,No,P,MSPG,O,NR,14 ft,21.0,3,0,44.3911,-72.331,-1,-1,-1,No
MD,L,3/2/2020,Seepage/Internal Erosion,Spillway Pipe Failure,Piping,Sinkhole,No,-1,RE,R,NR,11 ft,28.0,3,1960,38.2835,-76.5378,-1,-1,3 months,No
ND,H,4/8/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,L,RE,FR,Y,52 ft,1274.6,42,1967,46.6832,-98.0369,1968,-1,-1,-1
GA,H,12/1/2015,Hydrologic/Flooding,Other,-1,-1,-1,L,RE,R,N,19 ft,106.0,13,1967,33.5253,-84.3128,2006,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,CPD,NR,51 ft,2750.0,20,1961,33.5346,-97.3762,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,C,NR,37 ft,3124.0,46,1965,33.4571,-97.3167,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,LP,RE,C,NR,50 ft,2824.0,34,1961,33.3941,-97.2742,-1,-1,-1,-1
PA,S,05/04/1892,Unknown,Overtopping,-1,-1,No,L,CNPG,R,Y,11 ft,782.0,118,1855,41.8247,-79.6856,2008,11:30:00 PM,3 DAYS,Yes
PA,S,5/23/1928,Hydrologic/Flooding,Overtopping,-1,-1,No,L,CNPG,R,Y,11 ft,782.0,118,1855,41.8247,-79.6856,2008,-1,1 DAY,-1
TX,H,1/15/2012,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,19 ft,350.0,25,1950,30.1127,-97.4648,-1,-1,-1,-1
NJ,L,6/1/2019,Hydrologic/Flooding,Overtopping,Insufficient Spillway Capacity,-1,No,L,RE,-1,NR,-1,-1.0,0,0,39.8364,-74.957,-1,-1,1 day,Unknown
TX,L,8/29/2017,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,P,RE,P,NR,25 ft,520.0,37,1962,30.4391,-96.2221,-1,-1,-1,-1
OH,H,6/9/2016,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,P,RE,O,Y,47 ft,191.9,8,2003,39.8861,-81.3214,-1,-1,-1,Yes
VA,S,6/3/2018,Hydrologic/Flooding,Overtopping,Erosion,-1,No,P,RE,R,Y,24 ft,98.0,7,-1,38.0622,-78.5829,-1,-1,-1,-1
TX,L,6/10/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,P,RE,R,NR,28 ft,324.0,172,1966,32.2792,-95.4188,-1,-1,-1,-1
TX,S,1/1/2011,Seepage/Internal Erosion,Sinkhole,-1,-1,-1,P,RE,IR,Y,29 ft,269.0,23,1962,32.5386,-95.7741,2002,-1,-1,-1
KY,-1,12/1/1981,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
ME,S,4/13/2022,Seepage/Internal Erosion,Sinkhole,-1,-1,No,L,CN,HRS,Y,9 ft,1590.0,403,1900,44.2397,-70.0377,1962,-1,-1,Yes
TX,H,1/1/1971,Structural Stability,Cracking,-1,-1,-1,L,RE,ISRO,Y,90 ft,91680.0,1886,1966,32.0314,-99.4651,-1,-1,-1,-1
VA,H,8/3/2018,Hydrologic/Flooding,Overtopping,-1,-1,Yes,L,RE,CR,Y,35 ft,710.5,15,-1,37.4016,-79.184,-1,-1,-1,-1
SC,S,10/4/2015,Malfunction of Equipment/Gate,Debris Clogging,Insufficient Spillway Capacity,Overtopping,Yes,L,REST,HS,Y,8 ft,800.0,265,1882,34.0333,-81.0665,-1,8:00 PM,-1,Yes
TX,H,6/3/2024,Hydrologic/Flooding,Spillway Pipe Failure,-1,-1,Unknown,P,RE,IR,Y,24 ft,345.0,26,1905,32.9666,-96.8716,2017,-1,-1,Yes
CA,H,4/20/2011,Seepage/Internal Erosion,Spillway Pipe Failure,Piping,-1,No,U,RE,IS,NR,24 ft,62.0,3,1963,37.3542,-121.793,-1,12:00 AM,-1,-1
TX,H,4/4/2004,Hydrologic/Flooding,Overtopping,-1,-1,-1,L,RE,I,N,22 ft,1113.0,100,1955,30.8747,-102.878,-1,-1,-1,-1
TX,H,8/30/1986,Hydrologic/Flooding,Overtopping,-1,-1,-1,L,RE,R,Y,19 ft,520.0,22,1914,32.2249,-101.471,1988,-1,-1,-1
MS,U,4/20/2020,Hydrologic/Flooding,Spillway Deficiency,-1,-1,N,P,RE,R,NR,25 ft,350.0,0,-1,32.1482,-90.1664,-1,-1,-1,N
MD,H,1/19/1996,Hydrologic/Flooding,High Reservoir Level,Debris Clogging,-1,Yes,U,CNPG,HRS,Y,94 ft,310000.0,8563,1928,39.661,-76.1735,1978,-1,-1,Yes
PA,L,4/14/2008,Seepage/Internal Erosion,Sinkhole,-1,-1,No,P,RE,R,-1,18 ft,-1.0,0,1917,40.4725,-80.0621,-1,-1,-1,-1
SC,S,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,Y,13 ft,53.0,7,1963,34.1517,-80.775,-1,-1,-1,-1
WI,L,8/29/2018,Hydrologic/Flooding,Abutment Failure,Erosion,-1,Yes,L,RE,CD,N,46 ft,271.0,2,1963,43.7314,-90.8419,-1,-1,1 day,Yes
WI,L,8/29/2018,Hydrologic/Flooding,Abutment Failure,Erosion,-1,Yes,L,RE,CD,N,39 ft,95.5,0,1961,43.743,-90.8418,-1,-1,1 day,Yes
WI,L,8/29/2018,Hydrologic/Flooding,Abutment Failure,Erosion,-1,Yes,L,RE,CD,Y,34 ft,207.0,5,1961,43.7674,-90.8976,-1,-1,1 day,Yes
OH,L,10/1/2015,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,No,P,RE,O,N,24 ft,84.0,9,1971,40.7333,-81.1444,-1,-1,-1,Yes
OH,S,7/1/2015,Deterioration or Poor Condition,Overtopping,-1,-1,No,P,RE,O,N,42 ft,48.0,2,1963,40.3158,-80.7733,-1,-1,1 week,No
SC,L,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,N,12 ft,81.0,11,1959,34.1683,-80.1583,-1,-1,1 Day,No
VA,H,5/14/2014,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,-1,-1,-1,1989 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MI,S,6/26/2012,Deterioration or Poor Condition,Other,-1,-1,Yes,L,TC,R,Y,15 ft,80.0,17,1843,42.9857,-84.1179,-1,12:00 AM,-1,-1
TX,L,5/12/2019,Unknown,Unknown,-1,-1,-1,P,RE,S,NR,16 ft,96.0,10,1970,32.5709,-95.9518,-1,-1,-1,-1
TX,L,5/17/2018,Unknown,Unknown,-1,-1,-1,P,RE,S,NR,16 ft,96.0,10,1970,32.5709,-95.9518,-1,-1,-1,-1
ND,S,4/4/2019,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,L,RE,R,N,76 ft,16839.0,494,1973,46.299,-98.2671,1979,-1,1 week,No
MD,H,8/12/2017,Hydrologic/Flooding,Insufficient Spillway Capacity,-1,-1,Yes,L,RE,RI,Y,12 ft,70.0,13,1947,38.3308,-75.5982,2006,-1,-1,-1
VA,U,11/24/2022,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,O,N,29 ft,69.7,4,0,37.4485,-78.6955,-1,-1,-1,Unknown
VA,U,1/21/2022,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,N,8 ft,170.4,23,0,37.9988,-76.5733,-1,-1,-1,Unknown
SC,L,9/16/2018,Hydrologic/Flooding,Overtopping,Erosion,-1,No,P,RE,IR,NR,11 ft,400.0,32,1900,34.6077,-79.6314,-1,-1,-1,-1
SC,L,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,I,N,20 ft,400.0,32,1900,34.6083,-79.63,1999,-1,1 Day,No
SC,S,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,16 ft,76.0,10,1950,34.135,-80.975,-1,-1,-1,-1
NH,S,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,P,CNPG,H,Y,33 ft,150.0,17,1922,43.3905,-72.3766,-1,12:00 AM,-1,-1
DE,-1,9/8/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,12:00 AM,-1,-1
MD,S,9/14/2016,Deterioration or Poor Condition,Spillway Pipe Failure,Sinkhole,-1,Yes,L,RE,S,Y,32 ft,437.0,24,1957,39.6,-76.9633,1957,-1,-1,-1
WI,L,4/25/2018,Hydrologic/Flooding,Overtopping,-1,-1,No,L,RE,R,Y,15 ft,300.0,55,1973,45.5961,-90.4247,-1,-1,-1,No
WI,H,6/17/2018,Hydrologic/Flooding,Overtopping,-1,-1,Yes,L,RE,R,Y,12 ft,2500.0,346,1969,46.4524,-91.9517,-1,-1,-1,Unknown
SC,L,9/16/2018,Hydrologic/Flooding,Overtopping,Erosion,-1,No,P,RE,R,NR,16 ft,71.0,8,1960,34.6639,-80.2922,-1,-1,-1,-1
FL,L,4/29/2014,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,RS,N,16 ft,396.0,0,1960,30.46,-87.27,-1,-1,-1,-1
OH,H,11/7/2018,Seepage/Internal Erosion,Piping,Spillway Pipe Failure,-1,-1,L,RE,R,N,34 ft,96.0,7,1934,39.7611,-82.0472,-1,-1,-1,No
MA,S,5/29/2015,Unknown,Unknown,-1,-1,-1,P,-1,R,NR,9 ft,30.0,0,1900,42.4503,-71.3239,-1,-1,-1,-1
CO,H,9/19/2013,Hydrologic/Flooding,Other,-1,-1,-1,U,RE,S,Y,74 ft,52.0,4,2008,40.2767,-105.358,-1,-1,-1,-1
TX,L,8/29/2017,Hydrologic/Flooding,Unknown,-1,-1,-1,L,RE,C,NR,38 ft,950.0,16,1960,30.014,-96.6866,-1,-1,-1,-1
TX,L,4/18/2016,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,C,NR,42 ft,3202.0,33,1969,29.9169,-96.6341,-1,-1,-1,-1
TX,L,8/29/2017,Hydrologic/Flooding,Unknown,-1,-1,-1,L,RE,C,NR,42 ft,3202.0,33,1969,29.9169,-96.6341,-1,-1,-1,-1
TX,L,8/29/2017,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,C,Y,25 ft,3676.0,54,1959,30.0989,-96.7636,-1,-1,-1,-1
TX,L,8/29/2017,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,C,NR,26 ft,1636.0,23,1958,30.1166,-96.7433,-1,-1,-1,-1
NH,L,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,Yes,P,ER,R,NR,13 ft,1090.0,136,1880,43.7777,-72.0155,2008,12:00 AM,-1,-1
CO,L,9/14/2013,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
WI,-1,1/1/2008,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,RE,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NJ,L,8/14/2011,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,PGRE,R,NR,17 ft,-1.0,62,-1,39.5956,-74.8668,-1,-1,-1,-1
SC,L,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,18 ft,90.0,10,1960,33.8167,-80.1967,-1,-1,-1,-1
NE,L,1/1/2019,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,P,RE,C,NR,20 ft,73.2,7,1980,40.1219,-97.5903,-1,-1,-1,No
TX,-1,5/1/2019,Unknown,Spillway Deficiency,-1,-1,-1,-1,RE,-1,-1,19 ft,57.0,0,-1,0.0,0.0,-1,-1,-1,-1
NE,L,5/7/2015,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,RE,P,NR,25 ft,411.0,21,-1,40.177,-97.5594,-1,-1,-1,No
NC,H,2/2/2014,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,-1,U,RE,O,Y,40 ft,-1.0,0,-1,36.4883,-79.7148,-1,-1,-1,-1
OH,L,1/1/2019,Seepage/Internal Erosion,Excessive/Increased Seepage,Piping,Spillway Pipe Failure,Yes,S,RE,R,Y,26 ft,54.5,4,1966,40.1206,-84.5214,-1,-1,-1,No
OH,S,11/14/2017,Deterioration or Poor Condition,Spillway Pipe Failure,Sinkhole,-1,-1,P,RE,R,Y,38 ft,78.1,4,1987,39.9056,-81.4292,-1,-1,-1,Yes
ND,S,4/10/2018,Seepage/Internal Erosion,Erosion,Piping,Excessive/Increased Seepage,Yes,S,RE,R,Y,79 ft,1346.0,43,1971,47.2361,-101.223,1987,-1,-1,No
SC,S,9/16/2018,Hydrologic/Flooding,Insufficient Spillway Capacity,Overtopping,Erosion,No,P,RE,O,Y,9 ft,394.0,45,1870,34.6443,-79.7482,-1,-1,-1,-1
NY,L,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,P,RE,R,Y,10 ft,160.0,26,1956,41.6183,-74.6031,-1,-1,-1,-1
VA,U,9/15/2018,Unknown,Unknown,-1,-1,No,P,-1,-1,NR,20 ft,106.4,13,-1,37.4475,-77.8359,-1,-1,-1,-1
ND,L,4/23/2019,Seepage/Internal Erosion,Spillway Pipe Failure,Piping,Sinkhole,No,S,RE,R,NR,31 ft,307.4,15,1963,46.546,-103.658,1985,-1,-1,No
MD,-1,9/1/2003,Hydrologic/Flooding,Unknown,-1,-1,No,-1,RE,-1,-1,4 ft,1000.0,0,-1,38.1717,-75.8933,-1,-1,-1,-1
MD,-1,1/1/2008,Unknown,Unknown,-1,-1,Yes,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NH,H,8/28/2011,Hydrologic/Flooding,Sinkhole,-1,-1,Yes,L,ER,R,Y,20 ft,80.0,3,1935,44.3122,-71.7977,-1,-1,-1,-1
CO,L,7/1/2013,Seepage/Internal Erosion,Piping,-1,-1,-1,L,RE,S,NR,32 ft,54.0,4,1961,38.81,-108.071,-1,-1,-1,-1
MS,L,12/29/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,NR,16 ft,120.0,0,-1,34.8283,-90.195,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,L,RE,CPD,NR,21 ft,84.0,7,1978,33.5892,-97.7107,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,C,NR,38 ft,89.0,0,1973,33.5185,-97.5959,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,L,RE,C,NR,54 ft,2100.0,22,1968,33.4131,-97.5039,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Pipe Failure,-1,-1,-1,L,RE,CPF,NR,29 ft,600.0,15,1966,33.6093,-97.7465,-1,-1,-1,-1
TX,H,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,C,N,53 ft,2274.0,27,1963,33.2728,-97.5585,-1,-1,-1,-1
TX,H,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,C,N,55 ft,1969.0,24,1963,33.2668,-97.5607,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,CI,NR,40 ft,2360.0,39,1963,33.1854,-97.4177,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,CPD,NR,35 ft,4469.0,71,1972,33.5639,-97.6928,-1,-1,-1,-1
WI,S,3/5/2023,Seepage/Internal Erosion,Sinkhole,-1,-1,-1,F,PGCN,CHNFR,Y,17 ft,10790.0,536,1929,44.4483,-88.0633,-1,-1,-1,-1
WI,S,4/4/2023,Seepage/Internal Erosion,Sinkhole,-1,-1,-1,F,PGCN,CHNFR,Y,17 ft,10790.0,536,1929,44.4483,-88.0633,-1,-1,-1,-1
SC,H,6/1/2017,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,P,RE,R,N,12 ft,109.0,13,1965,33.8146,-80.9929,-1,-1,-1,-1
PA,L,7/22/2013,Hydrologic/Flooding,Spillway Pipe Failure,-1,-1,-1,L,RECN,C,-1,-1,-1.0,0,-1,39.5802,-76.4822,-1,-1,1 DAY,-1
WA,L,10/4/2014,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,-1,S,RE,R,NR,45 ft,4300.0,270,1951,47.0435,-122.909,-1,-1,-1,-1
NC,H,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,P,RE,R,Y,25 ft,175.0,0,-1,35.075,-78.995,2002,-1,1 day,-1
NJ,S,8/27/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,L,PGRE,R,N,9 ft,24.0,4,1937,40.7311,-74.3071,-1,-1,-1,-1
MO,-1,7/20/2015,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0,38.8492,90.9522,-1,-1,-1,-1
CO,H,8/17/2021,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,No,L,RE,HRS,Y,310 ft,305000.0,3300,1963,39.6217,-106.062,-1,11:00 AM,2 hours,No
TX,S,12/23/1939,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,17 ft,1420.0,122,1943,32.1281,-94.3657,-1,-1,-1,-1
NE,L,3/1/2019,Hydrologic/Flooding,Overtopping,-1,-1,No,P,RE,P,NR,43 ft,86.0,6,1981,42.62,-98.094,-1,-1,-1,No
SC,L,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,14 ft,67.0,16,1850,33.8017,-80.33,-1,-1,-1,-1
TX,L,11/1/2006,Unknown,Spillway Deficiency,-1,-1,-1,P,RE,R,NR,32 ft,209.0,13,1965,30.725,-94.8771,2007,-1,-1,-1
TX,S,8/29/2017,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,NR,15 ft,164.0,11,1942,30.6965,-94.7329,-1,-1,-1,-1
CA,H,2/4/2021,Seepage/Internal Erosion,Excessive/Increased Seepage,Slope Stability,-1,No,P,RE,O,N,21 ft,90.0,0,2019,41.4555,-120.901,-1,-1,-1,Yes
VA,L,10/30/2020,Structural Stability,Spillway Pipe Failure,Erosion,-1,-1,S,RE,R,Y,30 ft,32.7,4,-1,37.6354,-78.7944,-1,-1,-1,Yes
OH,H,1/13/2012,Structural Stability,Slope Stability,-1,-1,Yes,S,RE,R,Y,66 ft,7018.3,161,1959,39.33,-82.01,-1,12:00 AM,-1,-1
NE,L,9/1/2019,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,L,RE,C,NR,26 ft,32.1,3,1980,40.0526,-97.2591,-1,-1,-1,No
SC,L,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,14 ft,720.0,32,1967,33.825,-80.7283,-1,-1,-1,-1
MD,H,4/17/2012,Unknown,Under Investigation,-1,-1,Yes,L,RE,S,Y,118 ft,1880.0,48,1871,39.3186,-76.6315,1999,-1,-1,-1
ID,L,4/24/2021,Unknown,Unknown,-1,-1,No,P,RE,I,NR,35 ft,77.0,6,1976,44.0864,-116.553,2014,-1,-1,Yes
NY,L,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,-1,S,TC,R,N,14 ft,380.0,58,-1,44.14,-74.1083,-1,-1,-1,-1
SC,L,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,14 ft,720.0,120,1967,33.8417,-80.8517,-1,-1,-1,-1
WY,L,3/21/2019,Deterioration or Poor Condition,Erosion,-1,-1,No,P,RE,I,NR,29 ft,616.0,48,1937,43.4133,-104.507,-1,-1,5 months,No
NJ,L,4/17/2011,Hydrologic/Flooding,Other,-1,-1,Yes,P,MSPGCN,HS,Y,16 ft,3584.0,224,1854,40.8833,-74.1271,-1,-1,-1,-1
KY,L,5/2/2010,Unknown,Under Investigation,-1,-1,-1,L,RE,R,NR,25 ft,-1.0,17,1955,36.9908,-85.6144,-1,-1,-1,-1
MS,L,1/11/2020,Deterioration or Poor Condition,Vegetation,-1,-1,N,P,RE,R,No,-1,-1.0,0,-1,34.9097,-89.8342,-1,-1,-1,N
CO,H,12/2/2014,Seepage/Internal Erosion,Piping,-1,-1,-1,L,RE,S,Y,45 ft,341.0,19,1954,37.2907,-107.847,-1,-1,-1,-1
NC,L,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,P,RE,R,NR,13 ft,112.0,0,-1,35.281,-78.057,-1,-1,1 day,-1
PA,H,9/17/2004,Hydrologic/Flooding,Spillway Chute Failure,-1,-1,No,S,RE,RS,Y,42 ft,1850.0,91,1959,40.1458,-80.4675,2012,-1,8 YEARS,Yes
