state,downstream_hazard_potential,incident_type,incident_date,incident_driver,incident_mechanism_1,incident_mechanism_2,incident_mechanism_3,eap_enacted_y_n_due_to_incident,fatalities_number,number_of_people_evacuated,number_of_habitable_structures_evacuated,number_of_habitable_structures_flooded,other_infrastructure_impacts,economic_damages_in,response,volume_released_at_failure_ac_ft,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_time,incident_duration,incident_report_produced
NY,L,Non-Failure,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,10 ft,160.0,26,1956,41.6183,-74.6031,-1,-1,-1,-1
VA,U,Non-Failure,9/15/2018,Unknown,Unknown,-1,-1,No,0,-1,-1,-1,-1,-1,-1,-1,P,-1,-1,NR,20 ft,106.4,13,-1,37.4475,-77.8359,-1,-1,-1,-1
ND,L,Non-Failure,4/23/2019,Seepage/Internal Erosion,Spillway Pipe Failure,Piping,Sinkhole,No,-1,0,0,0,Other,-1,-1,-1,S,RE,R,NR,31 ft,307.4,15,1963,46.546,-103.658,1985,-1,-1,No
MD,-1,Failure,9/1/2003,Hydrologic/Flooding,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,RE,-1,-1,4 ft,1000.0,0,-1,38.1717,-75.8933,-1,-1,-1,-1
MD,-1,Failure,1/1/2008,Unknown,Unknown,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NH,H,Non-Failure,8/28/2011,Hydrologic/Flooding,Sinkhole,-1,-1,Yes,-1,0,-1,0,-1,-1,-1,-1,L,ER,R,Y,20 ft,80.0,3,1935,44.3122,-71.7977,-1,-1,-1,-1
CO,L,Non-Failure,7/1/2013,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,S,NR,32 ft,54.0,4,1961,38.81,-108.071,-1,-1,-1,-1
MS,L,Non-Failure,12/29/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,P,RE,R,NR,16 ft,120.0,0,-1,34.8283,-90.195,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CPD,NR,21 ft,84.0,7,1978,33.5892,-97.7107,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,C,NR,38 ft,89.0,0,1973,33.5185,-97.5959,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,C,NR,54 ft,2100.0,22,1968,33.4131,-97.5039,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Pipe Failure,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CPF,NR,29 ft,600.0,15,1966,33.6093,-97.7465,-1,-1,-1,-1
TX,H,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,C,N,53 ft,2274.0,27,1963,33.2728,-97.5585,-1,-1,-1,-1
TX,H,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,C,N,55 ft,1969.0,24,1963,33.2668,-97.5607,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CI,NR,40 ft,2360.0,39,1963,33.1854,-97.4177,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CPD,NR,35 ft,4469.0,71,1972,33.5639,-97.6928,-1,-1,-1,-1
WI,S,Non-Failure,3/5/2023,Seepage/Internal Erosion,Sinkhole,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,F,PGCN,CHNFR,Y,17 ft,10790.0,536,1929,44.4483,-88.0633,-1,-1,-1,-1
WI,S,Non-Failure,4/4/2023,Seepage/Internal Erosion,Sinkhole,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,F,PGCN,CHNFR,Y,17 ft,10790.0,536,1929,44.4483,-88.0633,-1,-1,-1,-1
SC,H,Non-Failure,6/1/2017,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,0,0,0,0,-1,-1,"The State issued an Emergency Order to require the dam owner immediately lower water level under direction of a licensed Professional Engineer, submit a detailed investigation by a licensed Professional Engineer, and submit a Plan of Action for the repair",-1,P,RE,R,N,12 ft,109.0,13,1965,33.8146,-80.9929,-1,-1,-1,-1
PA,L,Failure,7/22/2013,Hydrologic/Flooding,Spillway Pipe Failure,-1,-1,-1,0,0,0,0,-1,-1,"BREACHING OF THE DAM WAS COMPLETED ON SEPT 17, 2014",-1,L,RECN,C,-1,-1,-1.0,0,-1,39.5802,-76.4822,-1,-1,1 DAY,-1
WA,L,Non-Failure,10/4/2014,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,S,RE,R,NR,45 ft,4300.0,270,1951,47.0435,-122.909,-1,-1,-1,-1
NC,H,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,0,-1,0,-1,-1,"$100,000 to $500,000",-1,-1,P,RE,R,Y,25 ft,175.0,0,-1,35.075,-78.995,2002,-1,1 day,-1
NJ,S,Non-Failure,8/27/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,0,-1,-1,-1,-1,-1,0,L,PGRE,R,N,9 ft,24.0,4,1937,40.7311,-74.3071,-1,-1,-1,-1
MO,-1,Failure,7/20/2015,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0,38.8492,90.9522,-1,-1,-1,-1
CO,H,Non-Failure,8/17/2021,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,No,0,0,0,0,-1,-1,-1,-1,L,RE,HRS,Y,310 ft,305000.0,3300,1963,39.6217,-106.062,-1,11:00 AM,2 hours,No
TX,S,Non-Failure,12/23/1939,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,17 ft,1420.0,122,1943,32.1281,-94.3657,-1,-1,-1,-1
NE,L,Failure,3/1/2019,Hydrologic/Flooding,Overtopping,-1,-1,No,0,0,0,0,-1,"$1 to $100,000",-1,86,P,RE,P,NR,43 ft,86.0,6,1981,42.62,-98.094,-1,-1,-1,No
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,14 ft,67.0,16,1850,33.8017,-80.33,-1,-1,-1,-1
TX,L,Non-Failure,11/1/2006,Unknown,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,32 ft,209.0,13,1965,30.725,-94.8771,2007,-1,-1,-1
TX,S,Non-Failure,8/29/2017,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,15 ft,164.0,11,1942,30.6965,-94.7329,-1,-1,-1,-1
CA,H,Non-Failure,2/4/2021,Seepage/Internal Erosion,Excessive/Increased Seepage,Slope Stability,-1,No,0,0,0,0,-1,-1,-1,-1,P,RE,O,N,21 ft,90.0,0,2019,41.4555,-120.901,-1,-1,-1,Yes
VA,L,Non-Failure,10/30/2020,Structural Stability,Spillway Pipe Failure,Erosion,-1,-1,unknown,Unknown,Unknown,-1,-1,-1,-1,-1,S,RE,R,Y,30 ft,32.7,4,-1,37.6354,-78.7944,-1,-1,-1,Yes
OH,H,Non-Failure,1/13/2012,Structural Stability,Slope Stability,-1,-1,Yes,-1,0,-1,0,-1,none,-1,0,S,RE,R,Y,66 ft,7018.3,161,1959,39.33,-82.01,-1,12:00 AM,-1,-1
NE,L,Failure,9/1/2019,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,0,0,0,0,Roads,"$1 to $100,000",-1,2,L,RE,C,NR,26 ft,32.1,3,1980,40.0526,-97.2591,-1,-1,-1,No
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,14 ft,720.0,32,1967,33.825,-80.7283,-1,-1,-1,-1
MD,H,Non-Failure,4/17/2012,Unknown,Under Investigation,-1,-1,Yes,-1,0,-1,0,"Roads, Water Supply",-1,-1,-1,L,RE,S,Y,118 ft,1880.0,48,1871,39.3186,-76.6315,1999,-1,-1,-1
ID,L,Non-Failure,4/24/2021,Unknown,Unknown,-1,-1,No,-1,0,0,0,Roads,Unknown,-1,-1,P,RE,I,NR,35 ft,77.0,6,1976,44.0864,-116.553,2014,-1,-1,Yes
NY,L,Non-Failure,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,S,TC,R,N,14 ft,380.0,58,-1,44.14,-74.1083,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,14 ft,720.0,120,1967,33.8417,-80.8517,-1,-1,-1,-1
WY,L,Failure,3/21/2019,Deterioration or Poor Condition,Erosion,-1,-1,No,0,0,0,0,Roads,"$1 to $100,000",-1,376,P,RE,I,NR,29 ft,616.0,48,1937,43.4133,-104.507,-1,-1,5 months,No
NJ,L,Non-Failure,4/17/2011,Hydrologic/Flooding,Other,-1,-1,Yes,-1,0,-1,-1,-1,-1,-1,-1,P,MSPGCN,HS,Y,16 ft,3584.0,224,1854,40.8833,-74.1271,-1,-1,-1,-1
KY,L,Non-Failure,5/2/2010,Unknown,Under Investigation,-1,-1,-1,-1,0,-1,0,Roads,-1,-1,-1,L,RE,R,NR,25 ft,-1.0,17,1955,36.9908,-85.6144,-1,-1,-1,-1
MS,L,Non-Failure,1/11/2020,Deterioration or Poor Condition,Vegetation,-1,-1,N,0,0,0,0,0,0,-1,-1,P,RE,R,No,-1,-1.0,0,-1,34.9097,-89.8342,-1,-1,-1,N
CO,H,Non-Failure,12/2/2014,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,S,Y,45 ft,341.0,19,1954,37.2907,-107.847,-1,-1,-1,-1
NC,L,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,$1 million to $5 million,-1,-1,P,RE,R,NR,13 ft,112.0,0,-1,35.281,-78.057,-1,-1,1 day,-1
PA,H,Non-Failure,9/17/2004,Hydrologic/Flooding,Spillway Chute Failure,-1,-1,No,0,0,-1,-1,-1,-1,THE RESERVOIR WAS DRAINED.  FUNDING AND RECONSTRUCTION THE DAM TOOK 8 YEARS,-1,S,RE,RS,Y,42 ft,1850.0,91,1959,40.1458,-80.4675,2012,-1,8 YEARS,Yes
IN,H,Non-Failure,7/14/2015,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,L,CN,C,Y,92 ft,110000.0,1350,1967,39.825,-86.3075,-1,-1,-1,-1
TX,H,Non-Failure,12/1/1967,Structural Stability,Slope Stability,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,S,RE,IS,Y,85 ft,680335.0,6160,1932,32.8739,-97.461,-1,-1,-1,-1
NM,H,Non-Failure,12/23/2016,Seismic,Unknown,-1,-1,No,0,0,0,0,-1,-1,-1,-1,S,VA,I,Y,149 ft,98000.0,2768,1918,36.5318,-105.23,-1,19:31,1 day,Yes
IN,-1,Failure,6/1/2008,Unknown,Spillway Deficiency,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,H,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CRP,Y,43 ft,778.0,14,1952,33.3184,-96.6792,-1,-1,-1,-1
TX,S,Non-Failure,9/27/1996,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,ISR,Y,22 ft,327.0,19,1949,30.6995,-94.4207,1997,-1,-1,-1
OH,L,Non-Failure,4/1/2015,Seepage/Internal Erosion,Piping,-1,-1,No,0,0,0,0,-1,-1,-1,-1,P,RE,O,N,29 ft,114.0,10,1930,40.3664,-83.6033,-1,-1,2 weeks,Yes
SD,L,Non-Failure,9/11/2019,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,0,unknown,unknown,unknown,Roads,-1,Owner increased monitoring of the dam and secondary spillway until water levels dropped. East campground and boat ramp was temporarily closed and assistance was provided to get groceries to any stranded campers.,-1,S,RE,CR,NR,41 ft,17400.0,294,1958,43.59,-97.1717,1994,-1,-1,-1
MS,H,Non-Failure,8/24/2022,Hydrologic/Flooding,Debris Clogging,Overtopping,-1,N,0,0,0,0,0,0,-1,-1,P,RE,R,N,16 ft,57.0,6,-1,32.2844,-89.9745,-1,-1,-1,N
WI,L,Failure,10/7/2021,Malfunction of Equipment/Gate,Debris Clogging,Gate/Valve Failure,-1,No,0,0,0,0,-1,"$1 to $100,000",-1,130,L,PGRE,R,Y,20 ft,305.0,24,1855,43.839,-89.8064,1909,-1,1 day,Yes
WA,-1,Failure,2/7/1932,Hydrologic/Flooding,Overtopping,-1,-1,No,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,S,Non-Failure,10/20/2020,Structural Stability,Cracking,-1,-1,No,0,0,0,0,-1,-1,-1,-1,S,RE,FR,Y,82 ft,3063.0,118,1969,37.2074,-107.0,-1,9:00 AM,1 month,Yes
NV,H,Non-Failure,3/7/2019,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,0,0,0,0,-1,Unknown,owner was onsite during high flow event and monitored the situation.  Did not activate the EAP.,-1,S,RE,FR,Y,58 ft,1750.0,64,1970,37.9072,-114.272,-1,-1,2 days,-1
OH,S,Failure,6/8/2018,Hydrologic/Flooding,Overtopping,-1,-1,No,1,0,0,2,"Roads, Railroad","$100,000 to $500,000",ODSP did not hear about this dam until after the fact. The dam was not inventoried and therefore not inspected by our program. Staff inspected the breached dam and surveyed the damage downstream. A letter was sent to the owner indicating that if the dam were to be reconstructed that a construction permit from our office would be required.,28.6,P,RE,R,N,22 ft,28.6,2,0,40.4894,-81.3272,-1,7-8 PM,less than 1 day,No
NY,L,Failure,8/28/2011,Hydrologic/Flooding,Unknown,-1,-1,No,-1,0,-1,0,-1,-1,-1,-1,P,MS,R,NR,12 ft,144.0,16,1880,41.2717,-74.1406,-1,-1,-1,-1
MI,H,Failure,5/19/2020,Hydrologic/Flooding,Slope Stability,High Reservoir Level,-1,Yes,0,10000,3000,3000,Dams Downstream,over $100 million,See IFT Report,66200,P,PGRE,CH,Y,54 ft,66200.0,2600,1925,43.8142,-84.3769,-1,-1,-1,Yes
VA,L,Non-Failure,10/23/2018,Unknown,Spillway Erosion/Head Cutting,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,S,RE,R,N,28 ft,358.0,26,-1,36.7148,-78.6901,-1,-1,-1,-1
SC,H,Non-Failure,9/12/2017,Hydrologic/Flooding,Insufficient Spillway Capacity,Accident or Misoperation,Other,No,0,0,0,0,-1,-1,"The State issued an Emergency Order to require the dam owner immediately lower water level under direction of a licensed Professional Engineer, submit a detailed investigation by a licensed Professional Engineer, and submit a Plan of Action for the repair",-1,P,RE,R,N,17 ft,316.0,40,1962,33.6301,-81.2444,-1,-1,-1,-1
WA,H,Non-Failure,1/1/2019,Deterioration or Poor Condition,Spillway Pipe Failure,Insufficient Spillway Capacity,Reservoir Overfilling,Yes,0,0,0,0,-1,-1,"Public alert and meetings.  Local and State EM staff engaged. Twice weekly recons by small aircraft/helicopters. Installed remote monitoring, re-shaped and armoroed crest, reapired low level outlet.",-1,U,ERRE,IR,Y,22 ft,1610.0,65,1933,47.5205,-120.858,-1,-1,10 Months,No
PA,L,Failure,6/26/2006,Hydrologic/Flooding,Overtopping,-1,-1,-1,0,0,-1,-1,-1,-1,EMERGENCY PERMIT WAS ISSUED TO STABILIZE THE BREACH SECTION.,150,P,RE,R,-1,11 ft,-1.0,0,-1,41.5226,-75.4716,-1,-1,3 DAYS,-1
NY,-1,Failure,1/1/1960,Unknown,Under Investigation,-1,-1,No,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,1.0,1.0,-1,-1,-1,-1
TX,S,Failure,8/29/2017,Hydrologic/Flooding,Unknown,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,12 ft,50.0,9,1927,30.7266,-94.448,-1,-1,-1,-1
TX,S,Non-Failure,9/27/1996,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,12 ft,50.0,9,1927,30.7266,-94.448,-1,-1,-1,-1
WI,H,Non-Failure,9/8/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,PGRE,RS,N,14 ft,40.0,5,1877,44.5769,-91.4683,-1,-1,-1,-1
CO,H,Non-Failure,6/16/2015,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,U,CNVA,S,Y,151 ft,128000.0,3500,1932,38.905,-105.477,-1,-1,-1,-1
NY,L,Non-Failure,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,ERTC,R,N,23 ft,4200.0,525,1965,44.0225,-73.8308,-1,-1,-1,-1
KY,H,Non-Failure,11/10/2012,Seismic,Cracking,-1,-1,No,-1,0,-1,0,-1,none,-1,0,L,PG,S,NR,40 ft,-1.0,16,1930,37.1683,-82.635,-1,-1,-1,-1
TX,H,Non-Failure,5/18/2024,Hydrologic/Flooding,Spillway Chute Failure,-1,-1,Unknown,-1,0,0,0,-1,Unknown,Owner constructed an emergency cofferdam to prevent further loss of water,-1,P,RE,IR,Y,31 ft,1766.0,85,1920,30.6569,-95.532,2002,-1,-1,Yes
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,7 ft,151.0,42,1830,34.0683,-80.5317,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LP,RE,C,NR,52 ft,1680.0,18,1954,33.6654,-97.4887,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LP,RE,C,NR,46 ft,641.0,10,1957,33.5915,-97.3537,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LP,RE,C,NR,50 ft,2424.0,45,1958,33.7018,-97.3634,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LP,RE,C,NR,50 ft,1498.0,12,1957,33.6781,-97.3411,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LP,RE,C,NR,44 ft,1628.0,32,1958,33.6553,-97.2839,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LP,RE,C,NR,45 ft,411.0,7,1959,33.6825,-97.3288,-1,-1,-1,-1
SD,H,Non-Failure,7/24/2020,Hydrologic/Flooding,Spillway Chute Failure,Erosion,-1,No,0,Unknown,Unknown,Unknown,-1,-1,-1,-1,S,RE,RS,Y,52 ft,28800.0,1150,1937,45.855,-98.705,2000,-1,-1,Yes
ND,S,Non-Failure,4/25/2018,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,-1,0,0,0,-1,-1,-1,-1,L,RE,C,Y,25 ft,5187.6,48,1964,47.3098,-97.4647,-1,-1,-1,No
WI,-1,Failure,4/19/2023,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,No,0,0,0,0,-1,"$1 to $100,000",-1,-1,-1,-1,-1,-1,0 ft,0.0,0,0,0.0,0.0,-1,-1,-1,-1
CO,L,Failure,9/16/2013,Hydrologic/Flooding,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,L,Failure,9/16/2013,Hydrologic/Flooding,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,H,Non-Failure,6/11/2018,Seepage/Internal Erosion,Sinkhole,Piping,-1,Yes,-1,0,0,0,-1,-1,The sink hole did not appear to be changing so temporary patch was performed. With a permanent repair done in the fall. temporarily placed gravel in hole. Then camera old drain. Then abandoned and repair new drain,-1,P,RE,FIR,Y,37 ft,50900.0,2842,1905,40.2732,-104.189,-1,6:00 PM,-1,Yes
IA,L,Non-Failure,11/20/2018,Seepage/Internal Erosion,Piping,Sliding,-1,No,0,0,0,0,-1,-1,-1,-1,L,RE,PC,NR,38 ft,32.0,2,1970,43.4418,-91.4662,-1,-1,-1,-1
IA,L,Non-Failure,11/20/2018,Structural Stability,Piping,Slope Stability,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,PC,NR,38 ft,32.0,2,1970,43.4418,-91.4662,-1,-1,-1,-1
NE,L,Failure,6/13/2010,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,-1,0,-1,0,-1,-1,-1,750,P,RE,C,NR,35 ft,968.0,123,1916,41.7584,-98.6529,2004,-1,-1,-1
GA,H,Non-Failure,2/22/2019,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,-1,Unknown,Unknown,Unknown,Unknown,Unknown,Program visited site.,-1,S,RE,R,Y,48 ft,1691.0,46,1969,34.3153,-84.1964,-1,-1,-1,Unknown
NC,-1,Failure,1/1/2008,Seepage/Internal Erosion,Piping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
SC,L,Failure,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,0,0,0,0,-1,-1,-1,-1,S,RE,I,N,18 ft,90.0,11,1964,34.295,-79.73,-1,-1,1 Day,No
PA,L,Non-Failure,6/29/2006,Hydrologic/Flooding,Overtopping,Erosion,-1,-1,0,0,-1,-1,-1,-1,-1,-1,P,RE,PG,-1,10 ft,-1.0,0,-1,41.1024,-76.003,-1,-1,3 DAYS,-1
VA,H,Non-Failure,8/15/2020,Hydrologic/Flooding,Overtopping,-1,-1,-1,unknown,Unknown,Unknown,-1,-1,-1,-1,-1,L,CB,R,Y,34 ft,1511.0,92,-1,37.4618,-77.4655,-1,-1,-1,Yes
WV,U,Failure,1/1/2008,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,O,N,31 ft,16.1,0,-1,39.4161,-80.1611,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LP,RE,CPFD,NR,36 ft,83.0,4,1975,33.6745,-97.6433,-1,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LP,RE,CPFD,NR,41 ft,99.0,6,1975,33.68,-97.6461,-1,-1,-1,-1
VA,S,Non-Failure,9/23/2011,Hydrologic/Flooding,Spillway Chute Failure,-1,-1,No,-1,0,-1,0,-1,-1,-1,0,P,RE,R,N,22 ft,300.0,12,-1,37.2383,-78.42,-1,12:00 AM,-1,-1
PA,H,Non-Failure,3/2/2009,Unknown,Spillway Chute Failure,-1,-1,No,0,0,-1,-1,-1,-1,FULL DRAWDOWN ORDERED UNTIL REPAIRS COMPLETED.  SPILLWAY RECONSTRUCTION COMPLETED IN 2012.,-1,P,RE,R,Y,44 ft,675.0,27,1972,40.5867,-76.19,2012,-1,-1,-1
MN,-1,Failure,9/24/1909,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TN,L,Failure,5/2/2010,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,-1,0,-1,0,-1,-1,-1,65,P,RE,-1,-1,-1,-1.0,0,1969,0.0,0.0,2012,-1,-1,-1
SC,H,Non-Failure,5/1/2018,Deterioration or Poor Condition,Spillway Pipe Failure,Piping,Sinkhole,No,0,0,0,0,-1,-1,"The State issued an Emergency Order to require the dam owner immediately lower water level under direction of a licensed Professional Engineer, submit a detailed investigation by a licensed Professional Engineer, and submit a Plan of Action for the repair",-1,P,RE,R,Y,34 ft,715.0,55,1988,34.8867,-83.0442,-1,-1,-1,-1
WI,-1,Failure,1/1/2008,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,RE,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NC,S,Failure,11/28/2015,Deterioration or Poor Condition,Erosion,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,15 ft,469.0,0,1924,35.763,-77.997,-1,-1,-1,-1
OH,H,Non-Failure,7/1/2014,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,0,0,0,0,-1,-1,-1,-1,L,RE,S,Y,32 ft,19478.0,624,1971,41.01,-83.57,-1,-1,-1,-1
MO,H,Non-Failure,1/5/2017,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,-1,0,0,0,-1,-1,Owners reduced lake level with siphons until repair was made.,-1,S,RE,R,Y,44 ft,585.0,79,-1,39.0871,-92.3161,-1,-1,2 weeks,No
IN,-1,Failure,6/1/2008,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,L,Non-Failure,9/19/2013,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
