dam_name,incident_id,incident_description,named_hydrologic_event,additional_remarks_or_updates,nid_number,river_name,regulatory_agency_ies,information_sources,attachments
FAWN LAKE,PA00693-3200,FAILURE OF THE SPILLWAY TRAINING WALL.,-1,SPILLWAY WALL HAD SHOWN SIGNS OF MOVEMENT AT PREVIOUS INSPECTION & REPAIR PLAN REQUESTED,PA00693,PLUM CREEK,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
FERGUS FALLS HYDRO DAM,MN00000-199,-1,-1,-1,MN00000,-1,-1,-1,-1
FERN LAKE,TN11314-769,Spillway eroded during heavy rains,-1,-1,TN11314,-1,-1,-1,-1
FIDDLERS COVE DAM,SC02426-3133,"An unpermitted repair of a deterioriated primary spillway outlet pipe resulted in piping along the outside of the outlet pipe, and development of a sinkhole along the pipe from the outlet upwards for approximately 20 feet in length and 8 feet wide (near a band joint).  The dam owners had conducted an unpermitted and unauthorized ""lining"" of the deteriorated corrugated metal pipe using substandard methods and materials.",-1,Downstream roads were temporarily closed until water level was lowered to a safe level.,SC02426,MUD CREEK,SC DHEC,SC Dam Safety,-1
FIGOR,WI00000-183,-1,-1,"Four of the dams were state regulated, NID sized structures (Cushman, Carlin, Figor and Wyocena) while one was an unauthorized dam.  All of the failures were related to embankment breaches and resulted in total loss of the impoundments.  Three of the fail",WI00000,-1,-1,-1,-1
FINCH'S MILLPOND,NC00891-2645,Erosion over the years led to collapse of a portion of the dam,-1,Co. EMA said poor maintenance over the years led to erosion to the point where a portion of the dam collapsed. The County EMA Director indicated pond has drained into the creek below,NC00891,BLOOMERY SWAMP,NCDENR,Local News Source The Wilson Times,Y
FINDLAY UPGROUND RESERVOIR NO. 2,OH00782-2653,Wet area noted at the downstream toe. Leak in the resevoir fill line.,-1,-1,OH00782,BLANCHARD RIVER - OFFSTREAM,DEPARTMENT OF NATURAL RESOURCES,OH DNR,-1
FINGER LAKES DAM SOUTH,MO12212-3175,-1,-1,-1,MO12212,ROCKY FORK CK.,DAM AND RESERVOIR SAFETY PROG,MO DNR,-1
FISH HATCHERY,IN00000-145,-1,-1,precise date unknown. The embankment overtopped during a significant rainfall event in June and the downstream slope failed resulting in the lowering of the pool level and the decommissioning of the structure.,IN00000,-1,-1,-1,-1
FISH HATCHERY DAM,CO00000-2130,"severe erosion of spillway, reported by owner - Colorado Flooding of 9-13",-1,-1,CO00000,-1,-1,-1,-1
FISH POND DAM,PA00859-3183,20'x10'x6' HOLE ERODED AROUND COLLAPSED INLET BOX & POND ELEVATION DROPPED 5 FT.,-1,"PLASTIC TARP WAS USED AS ""ARMORING"" AND FLEXIBLE PLASTIC PIPE AS A ""DIKE"" AROUND THE HOLE.",PA00859,TRIB. OF ROARING CK.,PADEP,PA Dam Safety,-1
FISHER LAKE DAM,OH01649-3380,Principal spillway CMP riser failed due to corrosion. Water level lowered.,-1,-1,OH01649,TRIBUTARY TO CAESAR CREEK,DEPARTMENT OF NATURAL RESOURCES,OH Dam Safety,-1
FLATIRONS VISTA,CO00000-2081,"overtopped, DS slide, sinkhole, partial breach. Colorado Flooding of 9-13",-1,-1,CO00000,-1,-1,-1,-1
FLATROCK POND DAM,VA025005-3298,-1,Matthew,From Hurricane Matthew in October 2016. Met with VDOT personnel about emergency repairs/alterations on 05/30/18.,VA025005,FLATROCK BRANCH OF REEDY CREEK - VAHU6 CM18 REEDY CREEK,DEPARTMENT OF CONSERVATION AND RECREATION,VA DCR,-1
FLORA DELL,WI10339-3565,"Sinkhole formed on the top of the embankment, approximately 15' in diameter and 10' deep. Department staff inspected next day.. Issued verbal order for draw down via pump or siphon, to temporarily bypass outlet pipe.",-1,-1,WI10339,-1,-1,WI Dam Safety,-1
FLOWERS POND DAM,SC01960-2992,Hurricane Matthew,Matthew,-1,SC01960,TR-BEAR SWAMP,SCDHEC,SC DHEC,-1
FLOYD POND DAM,SC01970-2998,Hurricane Matthew,Matthew,-1,SC01970,TR-GREAT PEE DEE RIVER,SCDHEC,SC DHEC,-1
FLOYD POND DAM,SC01501-3002,Hurricane Matthew,Matthew,-1,SC01501,TURKEY CREEK,SCDHEC,SC DHEC,-1
Fogg Rd. Dam,MS00000-3490,Dam was over topping and the spillway was blocked by a beaver dam.,-1,-1,MS00000,-1,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,MDEQ Dam Safety,-1
FONTENELLE,WY01389-3506,"Fontenelle Dam nearly failed on first filling in 1965. The embankment materials were placed directly over open joints in the right abutment. After a large spring runoff event, seepage from the reservoir worked its way through these joints and into the right abutment of the embankment dam. Massive sloughing occurred and within 12 hours 10,000 cubic yards of material were eroded away.",-1,Flooding downstream with outlet works at full capacity.,WY01389,GREEN RIVER,SEO,ASDSO Decade Dam Series,-1
FOOTE POND DAM,NH00552-3438,Corroded CMP riser and outlet created sinkhole around the riser  and into the embankment. Corroded outlet pipe with increased seepage.,-1,-1,NH00552,TR PAUGUS BAY,NHDES DAM BUREAU,NHDES DAM BUREAU,-1
FOREST LAKE DAM,NC01691-1080,A portion of the concrete chute spillway detached and fell into the void beneath approximately five feet in depth.,-1,30 acre-feet released by pumping.  Embankment did not fail. Portion of an apartment complex and a number of homes flooded due to pumped release. Forced temporary closure of a major Charoltte thoroughfare.,NC01691,MCALPINE CREEK-TR,NCDENR,-1,Y
FOREST LAKE DAM,NH00297-3587,overtopping of earthen dam,-1,-1,NH00297,TR ASHUELOT RIVER,NHDES DAM BUREAU,NH DES,-1
FOREST LAKE DAM,IN00747-2614,Heavy rains over 24 hours caused damage to the principal spillway and the dam was in a slow state of progressive failure,-1,One of the owners hired an engineer to begin directing emergency actions and a contractor was hired to begin lowering the emergency spillway about 3 feet so that no water could flow through the old damaged principal spillway,IN00747,UNNAMED TRIBUTARY WHITE LICK CREEK,IDNR,IN DNR,Y
FOREST LAKE DAM,NH00297-3442,Heavy rainfall resulted in overtopping of the dam causing erosion adjacent to the concrete spillway,-1,-1,NH00297,TR ASHUELOT RIVER,NHDES DAM BUREAU,NHDES DAM BUREAU,-1
FOREST LAKE DAM,TX03770-3147,-1,Harvey,-1,TX03770,TR-TURKEY CREEK,TCEQ,TX CEQ,-1
FORT PITT,PA00000-109,-1,-1,-1,PA00000,-1,-1,-1,-1
FORT YARGO LAKE STATE PARK  DAM,GA00604-3350,Emergency spillway activated.,-1,Emergency spillway was functioning as designed.,GA00604,MARBURG CREEK,GA-SAFE DAMS PROGRAM,GA Safe Dams Program,-1
FOSTORIA UPGROUND RESERVOIR NO. 5,OH00788-1781,Shallow slide on downstream slope,-1,-1,OH00788,EAST BRANCH PORTAGE RIVER - OFFSTREAM,DEPARTMENT OF NATURAL RESOURCES,-1,-1
FOUNTAIN LAKE CDF,MN01804-3356,"During construction, oversaturated foundation led to interior slope failure.  Repaired.",-1,Upstream embankment slide prior to first filling.,MN01804,BANCROFT CREEK-OS,MNDNR EWR,MN Dam Safety,-1
FOWLER FINCH POND DAM,NY01046-960,Dam was breached because it was in the process of failing due to internal erosion - High water (rainfall event) - well within spillway capacity,-1,-1,NY01046,TR-CARRS CREEK,NYS DEC,-1,-1
FOWLER PARK LAKE DAM,IN00462-1720,Corrugated metal pipe may have deteriorated to the point where soil is entering the pipe and/or the inlet box connection to the pipe has leaked allowing water to travel along the outside of the conduit removing embankment material,-1,-1,IN00462,UNNAMED TRIBUTARY HONEY CREEK,IDNR,-1,-1
FOX DAM 2,NE00390-3550,Likley failed due to conduit corrosion.  Sinkhole observed in aerial imagery over conduit before failure.,-1,Failure was not reported until the dam was due for routine inspection.  No reported damage beyond the cost of the dam itself.,NE00390,TR-MINNECHADUZA CREEK,NE DNR,NE Dam Safety,-1
FREEMAN DAM,VA095054-3391,Partial failure of the downstream side of the embankment (continued erosion - under grant for design of repair),-1,-1,VA095054,-1,-1,VA Dam Safety,-1
GABRIELS OVERLOOK DAM,TX07254-2727,"OVERTOPPING, DID NOT BREACH",-1,-1,TX07254,TRIBUTARY OF SAN GABRIEL RIVER,TCEQ,TX DEQ,-1
GABRIELS OVERLOOK DAM,TX07254-2715,"OVERTOPPING, DID NOT BREACH",-1,-1,TX07254,TRIBUTARY OF SAN GABRIEL RIVER,TCEQ,TX DEQ,-1
GADDYS MILLPOND DAM,SC01958-2994,Hurricane Matthew,Matthew,-1,SC01958,BEAR SWAMP,SCDHEC,SC DHEC,-1
GAINES MILL DAM,VA085006-3394,Spillway undermined and water flowing underneath it,-1,-1,VA085006,BLOODY RUN,DEPARTMENT OF CONSERVATION AND RECREATION,VA Dam Safety,-1
GALESTOWN MILLPOND,MD00124-3089,Dam breached in two locations following 10-15 inches of rain in 12 hours. Partially attributed to debris blocking spilllway.,-1,-1,MD00124,GALES CREEK,MD DAM SAFETY,MDE Dam Safety Program,-1
GARLAND MILLPOND DAM,VA159002-3309,Emergency spillway suffered erosion damage,-1,-1,VA159002,MARSHY SWAMP,DEPARTMENT OF CONSERVATION AND RECREATION,VA DCR,-1
GARRISONS LAKE DAM,DE00030-1204,"Dam started overtopping around 4 am, and overtopping continued until 10 or 11 am.  Overtopping flow was confined to one location and due to the clay core of the dam only minor erosion occurred.",Irene,"Adequate warning was provided to remove spillway flashboards several days prior to the storm to lower pond level in advance, which helped to minimize damage. Eroded areas were sandbagged on 8/29/2011 as a temporary measure to prevent further erosion.",DE00030,LEIPSIC RIVER,DNREC,-1,-1
GATES MILLS LOW HEAD DAM,OH00000-980,high flows washed out the dam,-1,some homes evacuated according to news reports the dam was exempt from state regulatory jurisdiction,OH00000,CHAGRIN RIVER,ODNR - DSWR,-1,-1
GAYLE EVANS LAKE DAM,MS02814-2952,-1,-1,-1,MS02814,-1,MS Dept. of Environmental Quality,MS DEQ,-1
GAYNOR,CO00284-2065,"Reported by owner, piping around outlet works. Colorado Flooding of 9-13",-1,-1,CO00284,BOULDER CREEK-OS,DWR,-1,-1
GAYNOR,CO00284-2089,Previously unobserved seepage form beneath outlet structure.  Sealed temporrily and heightened survelience until repairs are made.,-1,-1,CO00284,BOULDER CREEK-OS,DWR,-1,-1
GEORGE H SPARKS RESERVOIR DAM #1,GA01148-3326,Significant damage to concrete spillway as result of heavy rain event,-1,-1,GA01148,UNKNOWN,GA-SAFE DAMS PROGRAM,GA-SAFE DAMS PROGRAM,-1
GEORGE SCHNOPP ROAD POND DAM,MA03514-3584,Spontaneous failure of primary spillway and adjacent embankments,-1,-1,MA03514,TR-Ashmere Lake,State of MA,MA Dam Safety,-1
GEORGETOWN LOW HEAD DAM,OH00000-1788,Collapse of large sections of dam,-1,"Former water supply intake. Incident Date from USGS video - https://www.usgs.gov/index.php/media/videos/white-oak-creek-after-low-head-dam-failure#:~:text=Detailed%20Description,%2D%20and%20high%2Dflow%20conditions.",OH00000,WHITE OAK CREEK,ODNR,-1,-1
GIBSON'S POND DAM,SC00169-2623,Heavy rains-as much as 16 inches caused several dams to overtop and fail.,-1,-1,SC00169,TWELVE MILE CREEK,SCDHEC,SC DHEC Website,-1
GILBOA DAM,NY00176-1287,Record lake level behind the dam.  Hurricane Irene.,Irene,-1,NY00176,SCHOHARIE CREEK,NYS DEC,-1,-1
GILLESPIES POND,PA00000-3239,THE DAM SUFFERED MAJOR DAMAGE AND WAS PARTIALLY BREACHED BY EXCESSIVE RAINFALL EVENT.,-1,PARTIAL BREACH IS REPAIRED.  A PERMIT APPLICATION TO MODIFY THE DAM IS PENDING; IT WAS SUBMITTED IN 2009.,PA00000,MEYLERT CREEK,PADEP,PA Dam Safety,-1
GLEN LAKE DAM,NJ00307-2862,piping failure through embankment adjacent to concrete spillway,-1,-1,NJ00307,WALLKILL RIVER,NJDEP,NJ DEP,-1
GLEN LOCH,WI00034-3497,Plug in abandoned 24-inch wasteway pipe failed.,-1,-1,WI00034,DUNCAN CREEK,WIDNR,WIDNR,-1
GLEN ROAD,NH00159-1146,"EAP activation, dam is overflowing",Irene,-1,NH00159,MASCOMA RIVER,NH DEPARTMENT OF ENVIRONMENTAL SERVICES DAM BUREAU,-1,-1
GLENDALE LAKE DAM,IN00320-1041,Substantial internal erosion failure.  A large void exists under the left end of the spillway system.  No foundation material remains under a large portion of the concrete spillway.,-1,There is footage on You-tube.,IN00320,UNNAMED TRIBUTARY DEER CREEK,IDNR,-1,-1
GOODWIN DAM,VA147005-3308,Downslope earthen embankment erosion due to overtopping. Dam did not fail.,-1,-1,VA147005,TR-SANDY RIVER,DEPARTMENT OF CONSERVATION AND RECREATION,VA DCR,-1
GORGE PLANT DAM,OH00481-971,"High flows over the dam reached level to activate ""EAP watch""",-1,-1,OH00481,CUYAHOGA RIVER,DEPARTMENT OF NATURAL RESOURCES,-1,-1
GORHAM,NH00191-1820,"Appears structural members supporting upstream facing (timber crib design) in lower left section of spillway had given way resulting in a ""V"" shaped depression/void in the timber facing. Flow from this void exited through the downstream apron drains.",-1,Structural concerns found on upstream face of timber crib dam during dive inspection.,NH00191,ANDROSCOGGIN RIVER,NH DEPARTMENT OF ENVIRONMENTAL SERVICES DAM BUREAU,-1,Y
GORSON DAM,PA01084-3195,A SIGNIFICANT SEEP WAS DISCOVERED ALONG THE CONDUIT PIPE.,-1,"DUE TO EXTENT AND COST OF REQUIRED REPAIRS, PROPERTY OWNER CHOSE TO BREACH DAM AND RESTORE STREAM.",PA01084,MILL CREEK,PADEP,PA Dam Safety,Y
GOSHEN RESERVOIR #1 DAM,NY00488-1291,"spillway channel erosion, left embankment.  Hurricane Irene.",Irene,-1,NY00488,TR-RIO GRANDE CREEK,NYS DEC,-1,-1
GRACE LAKE DAM NO 1,TX03192-2801,E.S. FAILED,-1,-1,TX03192,TR-WEST FORK TRINITY RIVER,TCEQ,TX DEQ,-1
GRACIE CREEK ROAD DAM,NE02661-1228,severe storm and overtopping,-1,The failure of the upstream Morgan Dam likely contributed to the overtopping and failure of this dam. A two-lane state highway which ran along the top of the dam was washed out.A two-lane state highway which ran along the top of the dam was washed out. A two-lane state highway which ran along the top of the dam was washed out.,NE02661,-1,-1,-1,-1
GRAHAM MILL POND DAM,SC02012-3000,Hurricane Matthew,Matthew,-1,SC02012,TREDWELL SWAMP,SCDHEC,SC DHEC,-1
GRANDE VIEW FARMS COMMUNITY POND,MD00172-3094,"Owners engineer advises that CMP spillway has failed.10ft sinkhole in d.s. slope over pipe, signif leakage along outside of pipe.Riser is deteriorated.",-1,-1,MD00172,BROAD CREEK-TR,MD DAM SAFETY,MDE Dam Safety Program,-1
Graphic Packaging Sludge Drying Basin Dam,GA00000-3345,Dam was built several months ago without plans. Facility wants to re-build.,-1,-1,GA00000,-1,-1,GA Safe Dams Program,-1
GREAT WESTERN,CO00000-2125,spillway flows - Colorado Flooding of 9-13,-1,-1,CO00000,-1,-1,-1,-1
GREEN LAKE DAM,TX06513-3422,https://www.kristv.com/news/local-news/green-lake-dam-collapses-in-portland-following-severe-weather,-1,-1,TX06513,TR-CORPUS CHRISTI BAY,TCEQ,TX Dam Safety,-1
GREENBRIER STATE PARK,MD00000-151,-1,-1,-1,MD00000,-1,-1,-1,-1
GREENBRIER STATE PARK DAM & DIKE,MD00118-3279,-1,-1,-1,MD00118,LITTLE BEAVER CREEK-TR,MD DAM SAFETY,MD DAM SAFETY,-1
GREENE VALLY SECTION 7 DAM,VA079005-3315,Primary spillway pipe failure at base of pipe.  5 foot drop in normal pool,-1,-1,VA079005,-1,DEPARTMENT OF CONSERVATION AND RECREATION,VA DCR,-1
GREENLICK,PA00219-3186,"LEAK DISCOVERED IN A.M., D/S RESIDENTS WARNED & TOTAL BREACH FAILURE AT 10PM.",-1,THIS DAM WAS RECONSTRUCTED AND IN SERVICE UNTIL BREACHED CIRCA 1981,PA00219,GREEN LICK RUN,PADEP,PA Dam Safety,-1
GREYBROOK LAKE,IN00000-141,-1,-1,precise date unknown,IN00000,-1,-1,-1,-1
GRIFFITH LAKE DAM,DE00043-3532,Active piping issue discovered on 8/16/23. The water level in the pond was lowered and an unsuccessful attempt to fill the voids under the spillway was made.,-1,-1,DE00043,MISPILLION RIVER,DNREC,DE Dam Safety,-1
GRIGGS LAKE DAM,IN00722-3327,"Sinkhole is located directly over the CMP principal spillway pipe, bout 1/3 of the way down the back slope of the dam. It is approximately 8 feet in diameter and 8 feet deep to the exposed pipe.",-1,-1,IN00722,UNNAMED TRIBUTARY THOMPSON DITCH,IDNR,IDNR,-1
GUILFORD RESERVOIR,MD00106-3083,During preconstruction activities contractor excavated long trench at downstream toe of dam. Soil heave from bottom of excavation created unstable ground conditions and cracking in dam embankment. Reservoir ordered drained.,-1,-1,MD00106,OFFSTREAM-STONEY RUN,MD DAM SAFETY,MDE Dam Safety Program,-1
GUILFORD RESERVOIR,MD00106-3082,Dam Safety personnel observed contractor excavating large hole in dam embankment near downstream toe. Unpermitted work was ordered stopped and hole backfilled.,-1,-1,MD00106,OFFSTREAM-STONEY RUN,MD DAM SAFETY,MDE Dam Safety Program,-1
GUY LAKE DAM,NC01098-2979,dam breached but did not overtop the road/bridge,Matthew,-1,NC01098,BLACK RIVER,-1,NCDEQ,-1
GUYMARD LAKE DAM,NY01219-1286,"sinkhole noted, 2 ft diameter, over 4 ft deep, between road and fence near center of dam.",Irene,-1,NY01219,TR-NEVERSINK RIVER,NYS DEC,-1,-1
H & H FEED LOT DAM,TX02731-2811,OVERTOPPED,-1,-1,TX02731,COTTONWOOD CREEK,N,TX DEQ,-1
H.F. LEE POWER STATION COOLING LAKE DAM,NC00944-2985,"breached, plus a large slide on different location",Matthew,-1,NC00944,NEUSE RIV OFF STREAM,NCDENR,NCDEQ,-1
HADDOCK DAM,TX07538-3293,SPILLWAY FAILURE,-1,-1,TX07538,-1,-1,TCEQ,-1
HAIRE POND DAM,SC02074-3005,Hurricane Matthew,Matthew,-1,SC02074,WOLF CREEK,SCDHEC,SC DHEC,-1
HAITHCOCK POND DAM,SC00052-3038,Heavy rains-as much as 16 inches caused several dams to overtop and fail.,-1,-1,SC00052,-1,SCDHEC,SC DHEC,-1
HALL LAKE MS02054 DAM,MS02054-3469,5 ft CMP failed creating sinkhole in dam.  State required a controlled breach.,-1,-1,MS02054,-1,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,MDEQ Dam Safety,-1
HALLENBECK #1,CO00085-3025,Dam exhibits unusual cracking and behavior of toe drains and piezometers.,-1,"Dam exhibits unusual cracking and behavior of toe drains and piezometers.  EAP level 1 situational awareness issued by County EM, reservoir lowered for further evaluation.",CO00085,KAHNAH CREEK-TR,DWR,CO DWR,-1
HAMER POND DAM,SC01954-2993,Hurricane Matthew,Matthew,-1,SC01954,TR-SWEAT SWAMP,SCDHEC,SC DHEC,-1
HAMILTON COUNTY ANGLERS LAKE DAM,OH00263-3109,Sinkhole on the downstream slope over the principal spillway pipe,-1,The owner started siphoning the water out of the lake immediately. Spillway has been replaced.,OH00263,TRIBUTARY TO SHAYLER RUN,DEPARTMENT OF NATURAL RESOURCES,OHDNR,-1
HAMLIN LAKE,MI00000-160,-1,-1,precise date unknown. Dam (ID 236) nearly overtopped and damaged by high flow.  A park downstream of the dam was evacuated as a precaution.  The damage was to the gates caused by boats getting wedged into the opening.,MI00000,-1,-1,-1,-1
HANDS MILL,VT00308-3554,Full failure reported in days immediately following flood event.,July 2023 Flood,Full failure reported in days immediately following flood event.  Dam slated for removal with plans to perform removal in 2024.,VT00308,JAIL BRANCH,DEC,VT Dam Safety,-1
HANSKA LAKE,MN00070-3261,Flooding due to spring runoff. Spilling around the west side of the dam causing scour erosion.,-1,"Working on redesign. Structure overtops frequently. Rebuild will be jurisdictional, existing dam is not.",MN00070,WATONWAN RIVER - TR,MNDNR,MNDNR,-1
HARALSON LAKE DAM,TX00517-2771,SPWY FAILURE,-1,-1,TX00517,TR-VILLAGE CREEK,N,TX DEQ,-1
HARDENBROOK DIV DAM,NE01509-1227,"The dam was overtopped and was severely damaged, but did not fail.",-1,The NE DNR dam safety program does not have jurisdiction over diversion dams.,NE01509,-1,-1,-1,-1
HARPER LAKE DAM,MO31866-163,-1,-1,"Rotational slide on downstream face. Width of slide approximately 60 feet. Vertical movement approximately 5 feet. REPORTED MARCH 20, 2008",MO31866,TR GOOSE CREEK,DAM AND RESERVOIR SAFETY PROG,-1,-1
HARRIS BACK LAKE DAM,TX04877-2783,INTERNAL EROSION,-1,-1,TX04877,TR-PARKER CREEK,TCEQ,TX DEQ,-1
HARRIS POND,RI00000-196,-1,-1,"> 1,500 evacuated; Woonsocket flooded. Failure of earthen embankment; disaster inspired citys current flood control system.",RI00000,BLACKSTONE,-1,-1,-1
HASHIMI DAM,TX07436-3528,No loss of life; it appeared that the dam overtopped and there was a spillway failure.,-1,-1,TX07436,-1,TCEQ,TX Dam Safety,-1
HATCHERY LAKE DAM,TX02948-2794,SPWY COLLAPSE,-1,-1,TX02948,HARMON CREEK,TCEQ,TX DEQ,-1
HAUSER,MT00000-113,-1,-1,Dam not anchored to bedrock. 70-foot-high steel dam collapsed ~ 2:45 p.m. Had been in operation for only 1 yr. New concrete dam was built at the site in 1911,MT00000,-1,-1,-1,-1
HAWKINS DAM,WA00320-2267,Fire-swept Benson Creek watershed received from 0.4 to 0.9 inches of rain in one hour. Debris obstructed the spillway-the dam didn't overtop. Erosion in the spillway channel down-cut into the lake and draining it.,-1,See the attached incident report.,WA00320,TR-BENSON CREEK,"Washington, Dept of Ecology",-1,Y
HEADS CREEK RESERVOIR DAM,GA01465-3527,The dam was under construction with a new spillway pipe being installed.  Coffer dam overtopped.,-1,-1,GA01465,HEAD'S CREEK,GA-SAFE DAMS PROGRAM,GA Safe Dams,-1
HEADS CREEK RESERVOIR DAM,GA01465-3347,Scour damage due to major rainfall and spillway's left sidewall being overtopped in high flows.,-1,Program approved temporary plans. Construction completed in 4/20.,GA01465,HEAD'S CREEK,GA-SAFE DAMS PROGRAM,GA Safe Dams Program,-1
HEARN DAM,TX09407-3142,-1,Harvey,-1,TX09407,MAGNUS BRANCH,TCEQ,TX CEQ,-1
HEARN DAM,TX09407-2752,OVERTOPPING,-1,-1,TX09407,MAGNUS BRANCH,TCEQ,TX DEQ,-1
HEARNS POND DAM,DE00060-1206,"Overtopping occurred in two separate low areas on the crest of the dam.  Minor erosion occurred on the grass downstream slope near the left abutment, and some minor displacement of riprap occurred on the downstream slope near the right abutment.",-1,"Dam started overtopping around 7 or 8 pm on 9/08/2011 and overtopping continued until about 8 am on 9/09/2011.  Sandbags were placed across each of the low areas on 9/08/2011, which helped to spread out the overtopping flow and reduce erosion.",DE00060,CLEAR BROOK,DNREC,-1,-1
HEATER RESERVOIR #2,OR00729-3162,"Deformation of a very thin steel conduit that was very poorly encased in concrete. caused the outlet and part of the pipe  and the lower 2/3 of the downstream face to move about ten feet as a slide, partly rotational, partly translational.",-1,"The reservoir drained fairly slowly from the detached pipe up through the slide scarp, and it flooded a Christmas tree packing and shipping area below the dam, which was occupied with about 20 workers when the flooding started. No injuries, but loss of productivity and some pumping required, and flooding sufficient to close but not damage a County road. Probably cost of 10K in damage, but with 200 K or more  if the dam was to repaired to full storage. Owner plans to reconstruct as a non-statutory dam",OR00729,CENTER FORK DRIFT CREEK,OWRD,OR Dam Safety,-1
HEATERS POND DAM,NJ00795-740,Overtopping,-1,several roads closed,NJ00795,SAWMILL BROOK,NJDEP,-1,-1
HEATH BRANCH FISHING CLUB LAKE DAM,TX02957-3598,Increased flows in spillway and gate rehab project led to undermining of the spillway stilling basin,multiple storms,"January flooding eroded rip rap between the stilling basin and tailwater weir; April/May flooding exacerbated the situation.  May 16 a section of the East wing wall was observed to be displaced; rip rap was placed to stabilize the wall until the waters receded to get a better understanding of the situation.  In June, once gates were able to be closed; a diver noted up to 6-ft of undermining along the stilling basin endsill, 200-ft of the tailwater weir was gone; and a large scour hole between the endsill and tailwater weir was observed.  Emergency repairs included placing concrete along the damaged areas; CFD analysis was performed to determine best options for gate operations going forward (especially if gates are out of commission); final permanent repairs are in design phase",TX02957,MCDONALD CREEK,TCEQ,TCEQ,-1
HEATH BRANCH FISHING CLUB LAKE DAM,TX02957-781,"Spillway pipe failed, partially drained lake",-1,City emergency management personnel were contacted. One home evacuated.,TX02957,MCDONALD CREEK,TCEQ,-1,-1
HELDERBERG LAKE DAM,NY00276-1294,High water during Hurricane Irene.  Dam did not overtop.,Irene,-1,NY00276,TR-ONESQUETHAW CREEK,NYS DEC,-1,-1
HENION POND DAM,NJ00224-966,Sinkhole developed along crest of earth embankment,-1,-1,NJ00224,PEQUANNOCK RIVER-TR,NJDEP,-1,-1
HENRY HUDSON DAM,MS03469-1440,DAM FAILED AT THE PRIMARY SPILLWAY CONDUIT. IT APPEARED FAILURE WAS THE RESULT OF SEEPAGE ALONG THE 24 INCH CONDUIT THRU THE DAM.,-1,THE RISER WAS LOCATED DOWNSTREAM SO SEEPAGE COULD HAVE BEEN FROM THE CONDUIT INTO THE DAM ANYWHERE ALONG ITS LENGTH. OWNER INDICATED CONDUIT WOULD BE PRESSURE TESTED PRIOR TO BEING REINSTALLED.,MS03469,TR.-TICK CREEK,MS Dept. of Environmental Quality,-1,-1
HERRING LAKE DAM,MO10914-169,-1,-1,Small sinkhole developed above the principal spillway conduit on the upstream crest of the dam. Sinkhole approximately 10 feet in diameter and 2-3 feet deep. The sinkhole was likely the result of material piping into the conduit through a damaged joint or,MO10914,SNYDER CREEK,DAM AND RESERVOIR SAFETY PROG,-1,-1
HESS CREEK DAM,AK00017-3341,"Satellite imagery on 4/25/2020 appears to show the dam is impounding significant amount of water. There is no serviceable spillway. The low level outlet does not appear to be functioning. Wildfires last year burned area and likely increase runoff and erosion, potentially clogging low level outlet causing impoundment.",-1,-1,AK00017,SOUTH FORK HESS CREEK,AKDNR,Alaska Dam Safety,Y
HESS CREEK DAM,AK00017-3458,Low Level Outlet screen was clogged and reservoir overfilled during spring freshet.,-1,Dam was breached intentionally in 2021 and will be deregulated in 2023.,AK00017,SOUTH FORK HESS CREEK,AKDNR,AKDNR,-1
HEUVELTON,NY00411-1040,A rubber bladder gate was punctured and deflated.,-1,DEC-fisheries(?) investigating potential environmental damage.,NY00411,OSWEGATCHIE RIVER,NYS DEC,-1,Y
HIDDEN TIMBER,SD00040-3249,-1,-1,"low hazard dam so was not required to have an EAP, also no habitable structures in the downstream flood plain, the primary incident mechanism was likely overtopping",SD00040,ANTELOPE CREEK,DENR,SD DENR,-1
HIDDEN VALLEY LAKE DAM,IN00100-3073,Downstream slide occurred approx. 52 x 29 x 1 foot deep,-1,Level 3 Emergency declared and emergency officals briefed. Minutes of inspection produced and they are attached. Previous slides occurred in 2011 and 2012,IN00100,DOUBLELICK RUN,IDNR,IN DNR,Y
HIDDEN VALLEY LAKE DAM,IN00100-1210,slump on the downstream slope,-1,Additional slide on downstream slope noted on 2/13/12 - see attached memo.,IN00100,DOUBLELICK RUN,IDNR,-1,Y
HIGH ISLAND CREEK,MN00819-2649,Large rainfall washed out right earthen embankment. Earthen abutment lower than design.,-1,Run-of-river dam. Dam was removed later.,MN00819,HIGH ISLAND CREEK,MNDNR WATERS,Citizen; DNR Fisheries staff; MN DNR Dam Safety files.,-1
HIGHLAND CLUB DAM,TX03995-2724,OVERTOPPING,-1,-1,TX03995,TR-ARTHUR REEVES BRANCH,TCEQ,TX DEQ,-1
HIGHWAY LAKE DAM A,TX03575-2784,OVERTOPPING,-1,-1,TX03575,TR-CLARKS CREEK,TCEQ,TX DEQ,-1
HIGHWAY LAKE DAM C,TX03577-774,"Spillway structure filled, but did not breach",-1,-1,TX03577,TR-CLARKS CREEK,TCEQ,-1,-1
HILLSBORO,WI00320-3329,Earthen embankment overtopped causing extreme scour and erosion next to left wing wall,-1,-1,WI00320,WEST BRANCH BARABOO R.,WIDNR,WI DNR,-1
